Daily data for a single station.
StationID:  , USW00014815
StationName:, "BATTLE CREEK KELLOGG AP"
Lat&Long    , 42.307, -85.251
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,19.40,31.10,0.00,NA,NA,NA,NA
2005-08-02,18.90,31.70,0.00,NA,NA,NA,NA
2005-08-03,20.00,32.20,0.00,NA,NA,NA,NA
2005-08-04,22.80,28.30,0.00,NA,NA,NA,NA
2005-08-05,18.30,28.90,0.00,NA,NA,NA,NA
2005-08-06,15.00,28.90,0.00,NA,NA,NA,NA
2005-08-07,17.20,29.40,0.00,NA,NA,NA,NA
2005-08-08,18.90,31.70,0.00,NA,NA,NA,NA
2005-08-09,20.00,31.10,0.00,NA,NA,NA,NA
2005-08-10,20.60,30.00,0.30,NA,NA,NA,NA
2005-08-11,17.80,23.90,1.80,NA,NA,NA,NA
2005-08-12,21.10,28.30,1.30,NA,NA,NA,NA
2005-08-13,20.00,26.10,1.00,NA,NA,NA,NA
2005-08-14,18.90,23.90,0.30,NA,NA,NA,NA
2005-08-15,18.90,26.70,0.00,NA,NA,NA,NA
2005-08-16,16.10,28.30,0.00,NA,NA,NA,NA
2005-08-17,15.60,29.40,0.00,NA,NA,NA,NA
2005-08-18,19.40,27.20,0.30,NA,NA,NA,NA
2005-08-19,18.30,28.30,0.00,NA,NA,NA,NA
2005-08-20,17.80,28.30,14.70,NA,NA,NA,NA
2005-08-21,15.60,25.60,0.30,NA,NA,NA,NA
2005-08-22,12.80,20.60,0.00,NA,NA,NA,NA
2005-08-23,13.30,22.20,0.00,NA,NA,NA,NA
2005-08-24,11.10,25.60,0.00,NA,NA,NA,NA
2005-08-25,12.80,25.60,0.00,NA,NA,NA,NA
2005-08-26,17.20,29.40,0.00,NA,NA,NA,NA
2005-08-27,15.00,27.80,1.50,NA,NA,NA,NA
2005-08-28,14.40,29.40,0.00,NA,NA,NA,NA
2005-08-29,15.60,30.00,0.00,NA,NA,NA,NA
2005-08-30,14.40,28.90,0.00,NA,NA,NA,NA
2005-08-31,15.60,27.80,0.00,NA,NA,NA,NA
2005-09-01,13.90,27.80,0.30,NA,NA,NA,NA
2005-09-02,13.90,26.70,0.00,NA,NA,NA,NA
2005-09-03,11.10,27.20,0.00,NA,NA,NA,NA
2005-09-04,11.10,27.20,0.00,NA,NA,NA,NA
2005-09-05,13.90,27.80,0.00,NA,NA,NA,NA
2005-09-06,14.40,28.90,0.00,NA,NA,NA,NA
2005-09-07,15.60,30.00,0.00,NA,NA,NA,NA
2005-09-08,17.20,29.40,0.00,NA,NA,NA,NA
2005-09-09,15.00,29.40,0.00,NA,NA,NA,NA
