Daily data for a single station.
StationID:  , USW00014880
StationName:, "CHICAGO WAUKEGAN RGNL AP"
Lat&Long    , 42.417, -87.867
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,20.60,33.30,0.00,NA,NA,NA,NA
2005-08-02,19.40,32.80,0.00,NA,NA,NA,NA
2005-08-03,22.80,35.00,0.00,NA,NA,NA,NA
2005-08-04,21.10,32.20,0.00,NA,NA,NA,NA
2005-08-05,14.40,27.20,0.00,NA,NA,NA,NA
2005-08-06,12.20,27.20,0.00,NA,NA,NA,NA
2005-08-07,15.60,30.60,0.00,NA,NA,NA,NA
2005-08-08,17.80,32.20,0.00,NA,NA,NA,NA
2005-08-09,21.10,34.40,0.00,NA,NA,NA,NA
2005-08-10,17.80,30.00,0.00,NA,NA,NA,NA
2005-08-11,16.70,23.90,8.40,NA,NA,NA,NA
2005-08-12,18.90,28.90,33.80,NA,NA,NA,NA
2005-08-13,16.70,23.30,0.00,NA,NA,NA,NA
2005-08-14,13.90,23.30,0.00,NA,NA,NA,NA
2005-08-15,13.90,25.00,0.00,NA,NA,NA,NA
2005-08-16,15.60,27.20,0.00,NA,NA,NA,NA
2005-08-17,13.30,26.10,0.00,NA,NA,NA,NA
2005-08-18,19.40,27.80,19.10,NA,NA,NA,NA
2005-08-19,20.00,28.90,0.00,NA,NA,NA,NA
2005-08-20,19.40,30.00,18.50,NA,NA,NA,NA
2005-08-21,16.70,26.10,0.00,NA,NA,NA,NA
2005-08-22,13.90,20.60,0.00,NA,NA,NA,NA
2005-08-23,13.30,21.10,0.00,NA,NA,NA,NA
2005-08-24,16.70,22.80,0.00,NA,NA,NA,NA
2005-08-25,17.20,22.20,0.00,NA,NA,NA,NA
2005-08-26,16.10,26.10,0.00,NA,NA,NA,NA
2005-08-27,18.90,27.80,0.00,NA,NA,NA,NA
2005-08-28,15.00,27.80,0.00,NA,NA,NA,NA
2005-08-29,15.00,26.70,0.00,NA,NA,NA,NA
2005-08-30,14.40,24.40,0.30,NA,NA,NA,NA
2005-08-31,15.00,22.80,0.00,NA,NA,NA,NA
2005-09-01,17.20,28.90,0.00,NA,NA,NA,NA
2005-09-02,14.40,27.20,0.00,NA,NA,NA,NA
2005-09-03,11.70,23.90,0.00,NA,NA,NA,NA
2005-09-04,12.20,25.60,0.00,NA,NA,NA,NA
2005-09-05,13.90,27.20,0.00,NA,NA,NA,NA
2005-09-06,16.70,28.90,0.00,NA,NA,NA,NA
2005-09-07,17.20,30.00,1.80,NA,NA,NA,NA
2005-09-08,16.70,23.90,0.30,NA,NA,NA,NA
2005-09-09,15.60,25.60,0.00,NA,NA,NA,NA
2005-09-10,20.60,28.30,0.00,NA,NA,NA,NA
2005-09-11,20.00,32.80,0.00,NA,NA,NA,NA
2005-09-12,20.00,32.20,0.00,NA,NA,NA,NA
2005-09-13,21.70,33.90,0.50,NA,NA,NA,NA
2005-09-14,11.10,22.80,5.30,NA,NA,NA,NA
2005-09-15,10.00,20.60,5.80,NA,NA,NA,NA
2005-09-16,11.10,20.60,4.30,NA,NA,NA,NA
2005-09-17,10.60,22.20,0.30,NA,NA,NA,NA
2005-09-18,12.80,26.70,0.00,NA,NA,NA,NA
2005-09-19,16.10,28.30,5.60,NA,NA,NA,NA
2005-09-20,13.90,27.20,0.30,NA,NA,NA,NA
2005-09-21,15.60,30.60,0.00,NA,NA,NA,NA
2005-09-22,16.70,28.90,26.20,NA,NA,NA,NA
2005-09-23,15.60,19.40,0.00,NA,NA,NA,NA
2005-09-24,17.20,21.10,1.30,NA,NA,NA,NA
2005-09-25,17.20,25.00,8.10,NA,NA,NA,NA
2005-09-26,10.00,19.40,1.30,NA,NA,NA,NA
2005-09-27,6.70,22.80,0.30,NA,NA,NA,NA
2005-09-28,8.90,21.70,5.30,NA,NA,NA,NA
2005-09-29,5.00,15.60,0.00,NA,NA,NA,NA
2005-09-30,5.00,21.10,0.00,NA,NA,NA,NA
2005-10-01,11.10,23.90,0.00,NA,NA,NA,NA
2005-10-02,11.70,23.30,4.30,NA,NA,NA,NA
2005-10-03,17.20,28.90,0.00,NA,NA,NA,NA
2005-10-04,20.00,30.00,0.00,NA,NA,NA,NA
2005-10-05,18.90,28.30,0.00,NA,NA,NA,NA
2005-10-06,6.70,18.90,0.00,NA,NA,NA,NA
2005-10-07,5.60,11.10,0.00,NA,NA,NA,NA
2005-10-08,6.70,11.10,0.00,NA,NA,NA,NA
2005-10-09,5.60,13.90,0.00,NA,NA,NA,NA
