Daily data for a single station.
StationID:  , USW00054757
StationName:, "WELLSVILLE MUNI AP"
Lat&Long    , 42.109, -77.992
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,15.00,29.40,0.00,NA,NA,NA,NA
2005-08-02,19.40,30.60,0.00,NA,NA,NA,NA
2005-08-03,17.20,31.10,0.00,NA,NA,NA,NA
2005-08-04,NA,NA,NA,NA,NA,NA,NA
2005-08-05,15.60,27.20,0.00,NA,NA,NA,NA
2005-08-06,12.20,27.80,0.00,NA,NA,NA,NA
2005-08-07,12.20,29.40,0.00,NA,NA,NA,NA
2005-08-08,15.60,26.10,0.00,NA,NA,NA,NA
2005-08-09,20.00,30.60,0.00,NA,NA,NA,NA
2005-08-10,18.30,30.60,1.80,NA,NA,NA,NA
2005-08-11,18.90,21.10,0.00,NA,NA,NA,NA
2005-08-12,16.70,30.60,2.50,NA,NA,NA,NA
2005-08-13,18.90,28.90,34.00,NA,NA,NA,NA
2005-08-14,15.00,28.30,1.30,NA,NA,NA,NA
2005-08-15,13.90,25.60,0.00,NA,NA,NA,NA
2005-08-16,13.30,26.10,0.00,NA,NA,NA,NA
2005-08-17,12.80,25.60,0.00,NA,NA,NA,NA
2005-08-18,10.00,27.20,0.00,NA,NA,NA,NA
2005-08-19,18.30,20.60,0.30,NA,NA,NA,NA
2005-08-20,18.90,28.30,4.10,NA,NA,NA,NA
2005-08-21,15.60,26.70,0.00,NA,NA,NA,NA
2005-08-22,11.70,20.00,0.00,NA,NA,NA,NA
2005-08-23,9.40,20.00,0.00,NA,NA,NA,NA
2005-08-24,6.70,22.80,0.00,NA,NA,NA,NA
2005-08-25,7.20,25.60,0.00,NA,NA,NA,NA
2005-08-26,12.20,25.60,0.00,NA,NA,NA,NA
2005-08-27,13.30,20.00,3.30,NA,NA,NA,NA
2005-08-28,15.60,27.20,0.00,NA,NA,NA,NA
2005-08-29,14.40,25.00,38.90,NA,NA,NA,NA
2005-08-30,16.10,22.20,53.80,NA,NA,NA,NA
2005-08-31,16.70,21.10,14.00,NA,NA,NA,NA
2005-09-01,13.90,23.90,0.30,NA,NA,NA,NA
2005-09-02,13.90,25.00,0.00,NA,NA,NA,NA
2005-09-03,10.60,21.70,0.00,NA,NA,NA,NA
2005-09-04,10.00,21.10,0.00,NA,NA,NA,NA
2005-09-05,5.60,23.30,0.00,NA,NA,NA,NA
2005-09-06,8.90,23.90,0.00,NA,NA,NA,NA
2005-09-07,10.00,24.40,0.30,NA,NA,NA,NA
2005-09-08,9.40,22.20,0.00,NA,NA,NA,NA
2005-09-09,11.10,23.30,0.00,NA,NA,NA,NA
2005-09-10,5.60,21.70,0.00,NA,NA,NA,NA
2005-09-11,5.60,23.90,0.30,NA,NA,NA,NA
2005-09-12,12.80,26.70,0.00,NA,NA,NA,NA
2005-09-13,12.80,26.70,0.00,NA,NA,NA,NA
2005-09-14,12.80,26.10,0.00,NA,NA,NA,NA
2005-09-15,16.10,25.60,0.00,NA,NA,NA,NA
2005-09-16,16.10,23.90,11.20,NA,NA,NA,NA
2005-09-17,12.80,18.90,0.50,NA,NA,NA,NA
2005-09-18,10.00,22.80,0.30,NA,NA,NA,NA
2005-09-19,10.60,22.20,0.30,NA,NA,NA,NA
2005-09-20,12.80,22.80,2.80,NA,NA,NA,NA
2005-09-21,11.10,23.90,0.00,NA,NA,NA,NA
