Daily data for a single station.
StationID:  , USW00054773
StationName:, "FULTON OSWEGO CO AP"
Lat&Long    , 43.350, -76.385
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,17.80,30.00,2.00,NA,NA,NA,NA
2005-08-02,20.00,28.90,0.30,NA,NA,NA,NA
2005-08-03,18.30,30.00,0.00,NA,NA,NA,NA
2005-08-04,18.90,33.30,0.00,NA,NA,NA,NA
2005-08-05,16.10,26.70,1.30,NA,NA,NA,NA
2005-08-06,14.40,27.20,0.00,NA,NA,NA,NA
2005-08-07,12.80,29.40,0.00,NA,NA,NA,NA
2005-08-08,19.40,30.00,1.80,NA,NA,NA,NA
2005-08-09,16.70,31.10,0.00,NA,NA,NA,NA
2005-08-10,17.80,32.80,0.00,NA,NA,NA,NA
2005-08-11,18.30,28.90,0.00,NA,NA,NA,NA
2005-08-12,18.30,28.90,4.30,NA,NA,NA,NA
2005-08-13,20.00,28.30,0.00,NA,NA,NA,NA
2005-08-14,16.10,21.70,3.30,NA,NA,NA,NA
2005-08-15,15.00,27.20,0.00,NA,NA,NA,NA
2005-08-16,14.40,27.20,0.30,NA,NA,NA,NA
2005-08-17,14.40,25.00,0.00,NA,NA,NA,NA
2005-08-18,12.20,25.60,0.00,NA,NA,NA,NA
2005-08-19,18.30,26.70,5.60,NA,NA,NA,NA
2005-08-20,18.90,26.10,16.50,NA,NA,NA,NA
2005-08-21,17.80,27.80,1.30,NA,NA,NA,NA
2005-08-22,14.40,22.20,0.80,NA,NA,NA,NA
2005-08-23,13.30,22.20,0.30,NA,NA,NA,NA
2005-08-24,11.70,23.30,0.00,NA,NA,NA,NA
2005-08-25,10.60,26.10,0.00,NA,NA,NA,NA
2005-08-26,12.20,28.90,0.30,NA,NA,NA,NA
2005-08-27,15.00,27.80,0.00,NA,NA,NA,NA
2005-08-28,18.30,28.90,1.00,NA,NA,NA,NA
2005-08-29,18.30,26.70,0.30,NA,NA,NA,NA
2005-08-30,18.30,26.70,18.80,NA,NA,NA,NA
2005-08-31,18.30,23.30,56.10,NA,NA,NA,NA
2005-09-01,15.00,24.40,0.00,NA,NA,NA,NA
2005-09-02,16.70,27.80,0.00,NA,NA,NA,NA
2005-09-03,13.90,23.90,0.00,NA,NA,NA,NA
2005-09-04,10.00,20.60,0.00,NA,NA,NA,NA
2005-09-05,7.80,24.40,0.30,NA,NA,NA,NA
2005-09-06,10.00,26.70,0.30,NA,NA,NA,NA
2005-09-07,12.20,26.70,0.30,NA,NA,NA,NA
2005-09-08,11.70,22.80,0.00,NA,NA,NA,NA
2005-09-09,11.10,23.30,0.30,NA,NA,NA,NA
2005-09-10,7.20,19.40,0.30,NA,NA,NA,NA
2005-09-11,5.60,24.40,0.00,NA,NA,NA,NA
2005-09-12,11.70,28.30,0.00,NA,NA,NA,NA
2005-09-13,14.40,29.40,0.00,NA,NA,NA,NA
2005-09-14,15.60,29.40,0.00,NA,NA,NA,NA
2005-09-15,15.00,24.40,0.50,NA,NA,NA,NA
2005-09-16,13.90,21.10,32.80,NA,NA,NA,NA
2005-09-17,13.90,18.90,2.80,NA,NA,NA,NA
2005-09-18,11.70,24.40,0.30,NA,NA,NA,NA
2005-09-19,12.20,25.00,0.30,NA,NA,NA,NA
2005-09-20,16.10,23.30,8.40,NA,NA,NA,NA
2005-09-21,11.70,26.10,0.00,NA,NA,NA,NA
2005-09-22,10.60,26.70,0.30,NA,NA,NA,NA
2005-09-23,8.90,20.60,0.50,NA,NA,NA,NA
2005-09-24,4.40,20.60,0.00,NA,NA,NA,NA
2005-09-25,14.40,22.80,3.80,NA,NA,NA,NA
2005-09-26,15.60,20.60,40.40,NA,NA,NA,NA
2005-09-27,7.80,18.30,0.30,NA,NA,NA,NA
2005-09-28,6.70,21.70,0.00,NA,NA,NA,NA
2005-09-29,7.20,19.40,24.60,NA,NA,NA,NA
2005-09-30,5.00,16.70,0.00,NA,NA,NA,NA
2005-10-01,6.10,22.20,0.00,NA,NA,NA,NA
2005-10-02,9.40,25.60,0.30,NA,NA,NA,NA
2005-10-03,12.80,26.10,0.00,NA,NA,NA,NA
2005-10-04,13.90,26.10,0.00,NA,NA,NA,NA
2005-10-05,13.30,25.00,0.30,NA,NA,NA,NA
2005-10-06,15.00,26.70,0.30,NA,NA,NA,NA
2005-10-07,9.40,21.70,22.90,NA,NA,NA,NA
2005-10-08,6.70,9.40,18.80,NA,NA,NA,NA
2005-10-09,7.20,11.10,2.00,NA,NA,NA,NA
2005-10-10,9.40,13.90,2.50,NA,NA,NA,NA
2005-10-11,10.00,16.10,0.00,NA,NA,NA,NA
2005-10-12,8.90,13.30,0.50,NA,NA,NA,NA
2005-10-13,8.90,12.20,26.90,NA,NA,NA,NA
2005-10-14,12.20,15.00,5.30,NA,NA,NA,NA
2005-10-15,10.00,15.60,2.80,NA,NA,NA,NA
2005-10-16,9.40,11.10,0.00,NA,NA,NA,NA
2005-10-17,5.60,11.70,0.80,NA,NA,NA,NA
2005-10-18,8.90,13.30,2.00,NA,NA,NA,NA
2005-10-19,5.60,17.20,0.30,NA,NA,NA,NA
2005-10-20,0.00,12.20,0.00,NA,NA,NA,NA
2005-10-21,-1.10,12.20,0.00,NA,NA,NA,NA
2005-10-22,2.80,8.30,11.90,NA,NA,NA,NA
