Daily data for a single station.
StationID:  , USW00054813
StationName:, "MUNSING LAKESHORE"
Lat&Long    , 46.417, -86.650
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,16.70,23.30,3.60,NA,NA,NA,NA
2005-08-02,18.90,32.80,0.00,NA,NA,NA,NA
2005-08-03,22.80,33.30,0.00,NA,NA,NA,NA
2005-08-04,18.30,25.60,4.80,NA,NA,NA,NA
2005-08-05,13.30,22.20,0.00,NA,NA,NA,NA
2005-08-06,13.30,29.40,0.00,NA,NA,NA,NA
2005-08-07,18.30,31.70,0.00,NA,NA,NA,NA
2005-08-08,19.40,32.20,0.00,NA,NA,NA,NA
2005-08-09,18.90,25.00,5.10,NA,NA,NA,NA
2005-08-10,12.20,21.70,0.00,NA,NA,NA,NA
2005-08-11,10.60,23.90,0.00,NA,NA,NA,NA
2005-08-12,16.70,22.80,1.50,NA,NA,NA,NA
2005-08-13,11.70,21.70,0.00,NA,NA,NA,NA
2005-08-14,8.90,21.10,0.00,NA,NA,NA,NA
2005-08-15,9.40,25.60,0.00,NA,NA,NA,NA
2005-08-16,10.00,21.10,0.00,NA,NA,NA,NA
2005-08-17,7.80,23.90,0.00,NA,NA,NA,NA
2005-08-18,16.70,27.20,0.00,NA,NA,NA,NA
2005-08-19,18.30,22.80,0.00,NA,NA,NA,NA
2005-08-20,17.80,23.30,4.30,NA,NA,NA,NA
2005-08-21,12.80,17.80,3.30,NA,NA,NA,NA
2005-08-22,10.00,16.70,0.00,NA,NA,NA,NA
2005-08-23,8.30,20.60,0.00,NA,NA,NA,NA
2005-08-24,7.20,25.60,0.00,NA,NA,NA,NA
2005-08-25,11.70,27.20,0.00,NA,NA,NA,NA
2005-08-26,15.60,27.80,0.80,NA,NA,NA,NA
2005-08-27,16.10,26.10,33.00,NA,NA,NA,NA
2005-08-28,13.30,21.70,0.00,NA,NA,NA,NA
2005-08-29,11.10,22.20,0.00,NA,NA,NA,NA
2005-08-30,13.30,20.60,0.00,NA,NA,NA,NA
2005-08-31,12.80,20.60,0.00,NA,NA,NA,NA
2005-09-01,13.30,27.20,1.30,NA,NA,NA,NA
2005-09-02,13.90,20.00,0.30,NA,NA,NA,NA
2005-09-03,9.40,18.90,0.00,NA,NA,NA,NA
2005-09-04,6.10,23.90,0.00,NA,NA,NA,NA
2005-09-05,14.40,28.30,0.00,NA,NA,NA,NA
2005-09-06,18.30,27.20,0.30,NA,NA,NA,NA
2005-09-07,8.90,22.80,0.00,NA,NA,NA,NA
2005-09-08,6.70,21.10,0.00,NA,NA,NA,NA
2005-09-09,7.80,26.10,0.00,NA,NA,NA,NA
2005-09-10,17.20,25.60,33.80,NA,NA,NA,NA
2005-09-11,19.40,32.80,0.00,NA,NA,NA,NA
2005-09-12,20.60,31.10,0.00,NA,NA,NA,NA
2005-09-13,18.30,27.20,9.70,NA,NA,NA,NA
2005-09-14,10.00,18.90,0.00,NA,NA,NA,NA
2005-09-15,6.70,20.00,0.00,NA,NA,NA,NA
2005-09-16,7.80,22.20,0.00,NA,NA,NA,NA
2005-09-17,11.10,25.60,0.00,NA,NA,NA,NA
2005-09-18,16.10,23.30,0.00,NA,NA,NA,NA
2005-09-19,11.10,18.30,29.20,NA,NA,NA,NA
2005-09-20,13.30,26.10,0.00,NA,NA,NA,NA
2005-09-21,8.90,25.60,0.00,NA,NA,NA,NA
2005-09-22,15.00,23.30,0.00,NA,NA,NA,NA
2005-09-23,6.10,16.10,0.00,NA,NA,NA,NA
2005-09-24,6.10,21.10,0.30,NA,NA,NA,NA
2005-09-25,15.00,17.20,2.50,NA,NA,NA,NA
2005-09-26,8.30,16.70,1.80,NA,NA,NA,NA
2005-09-27,6.70,22.20,0.00,NA,NA,NA,NA
2005-09-28,10.60,16.70,36.80,NA,NA,NA,NA
2005-09-29,7.80,13.30,0.50,NA,NA,NA,NA
2005-09-30,9.40,17.80,0.00,NA,NA,NA,NA
2005-10-01,12.80,24.40,0.00,NA,NA,NA,NA
2005-10-02,13.90,25.60,0.00,NA,NA,NA,NA
2005-10-03,18.30,25.00,0.50,NA,NA,NA,NA
2005-10-04,17.20,23.30,53.60,NA,NA,NA,NA
2005-10-05,15.60,25.60,5.60,NA,NA,NA,NA
2005-10-06,7.20,18.90,7.40,NA,NA,NA,NA
2005-10-07,5.60,7.80,0.80,NA,NA,NA,NA
2005-10-08,0.60,10.00,0.00,NA,NA,NA,NA
2005-10-09,-1.10,12.80,0.00,NA,NA,NA,NA
2005-10-10,0.00,14.40,0.00,NA,NA,NA,NA
2005-10-11,1.10,14.40,0.00,NA,NA,NA,NA
2005-10-12,12.80,18.30,0.00,NA,NA,NA,NA
2005-10-13,12.20,17.80,1.80,NA,NA,NA,NA
2005-10-14,9.40,17.80,1.30,NA,NA,NA,NA
2005-10-15,8.30,14.40,0.00,NA,NA,NA,NA
2005-10-16,3.30,11.10,0.00,NA,NA,NA,NA
2005-10-17,3.90,13.90,3.80,NA,NA,NA,NA
2005-10-18,6.70,12.20,3.80,NA,NA,NA,NA
2005-10-19,4.40,10.60,1.50,NA,NA,NA,NA
2005-10-20,-2.20,9.40,1.00,NA,NA,NA,NA
2005-10-21,-3.30,11.10,0.00,NA,NA,NA,NA
2005-10-22,3.30,8.30,2.50,NA,NA,NA,NA
2005-10-23,3.30,8.30,5.60,NA,NA,NA,NA
2005-10-24,4.40,8.90,3.30,NA,NA,NA,NA
2005-10-25,3.90,8.30,2.80,NA,NA,NA,NA
2005-10-26,6.10,7.80,0.00,NA,NA,NA,NA
2005-10-27,3.30,8.90,0.00,NA,NA,NA,NA
2005-10-28,-0.60,14.40,0.00,NA,NA,NA,NA
2005-10-29,2.80,15.60,0.00,NA,NA,NA,NA
2005-10-30,9.40,12.80,2.00,NA,NA,NA,NA
2005-10-31,7.80,12.80,0.00,NA,NA,NA,NA
