Daily data for a single station.
StationID:  , USW00094815
StationName:, "KALAMAZOO BATTLE CK INTL"
Lat&Long    , 42.235, -85.552
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,20.00,32.20,0.00,NA,NA,NA,NA
2005-08-02,18.90,32.20,0.00,NA,NA,NA,NA
2005-08-03,21.70,33.30,0.00,NA,NA,NA,NA
2005-08-04,22.80,29.40,2.00,NA,NA,NA,NA
2005-08-05,18.90,29.40,0.00,NA,NA,NA,NA
2005-08-06,15.60,30.00,0.00,NA,NA,NA,NA
2005-08-07,17.80,31.10,0.00,NA,NA,NA,NA
2005-08-08,20.00,31.70,0.30,NA,NA,NA,NA
2005-08-09,21.70,32.80,0.00,NA,NA,NA,NA
2005-08-10,20.00,31.10,6.60,NA,NA,NA,NA
2005-08-11,18.30,24.40,1.00,NA,NA,NA,NA
2005-08-12,22.20,29.40,0.30,NA,NA,NA,NA
2005-08-13,20.60,26.10,1.00,NA,NA,NA,NA
2005-08-14,19.40,25.00,0.00,NA,NA,NA,NA
2005-08-15,17.80,27.80,0.00,NA,NA,NA,NA
2005-08-16,17.80,28.90,0.30,NA,NA,NA,NA
2005-08-17,15.60,30.00,0.00,NA,NA,NA,NA
2005-08-18,20.00,27.80,2.50,NA,NA,NA,NA
2005-08-19,18.90,27.80,0.00,NA,NA,NA,NA
2005-08-20,19.40,28.90,34.80,NA,NA,NA,NA
2005-08-21,17.20,26.10,0.30,NA,NA,NA,NA
2005-08-22,13.30,22.20,0.00,NA,NA,NA,NA
2005-08-23,12.20,23.30,0.00,NA,NA,NA,NA
2005-08-24,12.20,26.10,0.30,NA,NA,NA,NA
2005-08-25,12.20,26.70,0.00,NA,NA,NA,NA
2005-08-26,16.70,29.40,0.00,NA,NA,NA,NA
2005-08-27,17.20,27.20,2.30,NA,NA,NA,NA
2005-08-28,16.10,29.40,0.00,NA,NA,NA,NA
2005-08-29,15.60,30.60,0.00,NA,NA,NA,NA
2005-08-30,13.90,29.40,0.00,NA,NA,NA,NA
2005-08-31,15.60,28.30,0.00,NA,NA,NA,NA
2005-09-01,14.40,28.30,0.00,NA,NA,NA,NA
2005-09-02,13.90,26.70,0.00,NA,NA,NA,NA
2005-09-03,11.70,27.80,0.00,NA,NA,NA,NA
2005-09-04,11.70,28.30,0.00,NA,NA,NA,NA
2005-09-05,14.40,29.40,0.00,NA,NA,NA,NA
2005-09-06,13.90,29.40,0.00,NA,NA,NA,NA
2005-09-07,16.10,31.10,0.00,NA,NA,NA,NA
2005-09-08,17.20,29.40,0.00,NA,NA,NA,NA
2005-09-09,16.10,30.00,0.00,NA,NA,NA,NA
2005-09-10,15.60,31.70,0.00,NA,NA,NA,NA
2005-09-11,16.70,32.20,0.00,NA,NA,NA,NA
2005-09-12,17.20,32.20,0.00,NA,NA,NA,NA
2005-09-13,18.90,33.90,0.00,NA,NA,NA,NA
2005-09-14,14.40,26.10,2.80,NA,NA,NA,NA
2005-09-15,10.60,26.70,0.50,NA,NA,NA,NA
2005-09-16,12.20,21.10,24.40,NA,NA,NA,NA
2005-09-17,10.60,25.00,0.00,NA,NA,NA,NA
2005-09-18,11.70,27.20,0.00,NA,NA,NA,NA
