Daily data for a single station.
StationID:  , USW00094817
StationName:, "PONTIAC OAKLAND CO INTL A"
Lat&Long    , 42.665, -83.418
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,20.00,31.70,0.00,NA,NA,NA,NA
2005-08-02,22.20,32.80,0.00,NA,NA,NA,NA
2005-08-03,21.70,32.80,0.00,NA,NA,NA,NA
2005-08-04,23.30,29.40,0.00,NA,NA,NA,NA
2005-08-05,18.30,28.90,0.00,NA,NA,NA,NA
2005-08-06,15.60,28.90,0.00,NA,NA,NA,NA
2005-08-07,21.10,31.10,0.00,NA,NA,NA,NA
2005-08-08,17.20,31.10,0.00,NA,NA,NA,NA
2005-08-09,21.10,32.80,0.00,NA,NA,NA,NA
2005-08-10,22.20,30.60,0.00,NA,NA,NA,NA
2005-08-11,19.40,27.80,0.00,NA,NA,NA,NA
2005-08-12,18.90,29.40,6.40,NA,NA,NA,NA
2005-08-13,20.60,27.20,0.00,NA,NA,NA,NA
2005-08-14,17.20,23.90,6.90,NA,NA,NA,NA
2005-08-15,15.00,26.70,0.00,NA,NA,NA,NA
2005-08-16,16.10,27.80,0.00,NA,NA,NA,NA
2005-08-17,16.70,29.40,0.00,NA,NA,NA,NA
2005-08-18,16.70,30.00,0.00,NA,NA,NA,NA
2005-08-19,20.60,29.40,0.00,NA,NA,NA,NA
2005-08-20,18.90,27.80,5.10,NA,NA,NA,NA
2005-08-21,16.10,27.20,0.00,NA,NA,NA,NA
2005-08-22,13.30,19.40,0.00,NA,NA,NA,NA
2005-08-23,13.30,21.10,0.00,NA,NA,NA,NA
2005-08-24,10.60,25.60,0.00,NA,NA,NA,NA
2005-08-25,13.30,25.00,0.00,NA,NA,NA,NA
2005-08-26,NA,NA,NA,NA,NA,NA,NA
2005-08-27,18.30,28.30,5.10,NA,NA,NA,NA
2005-08-28,15.00,30.00,NA,NA,NA,NA,NA
2005-08-29,17.20,30.00,0.00,NA,NA,NA,NA
2005-08-30,18.30,25.00,0.00,NA,NA,NA,NA
2005-08-31,18.30,25.60,0.00,NA,NA,NA,NA
2005-09-01,15.60,27.20,0.00,NA,NA,NA,NA
2005-09-02,13.90,27.20,0.00,NA,NA,NA,NA
2005-09-03,13.30,25.00,0.00,NA,NA,NA,NA
2005-09-04,11.70,25.60,0.00,NA,NA,NA,NA
2005-09-05,11.10,26.10,0.00,NA,NA,NA,NA
2005-09-06,12.80,28.30,0.00,NA,NA,NA,NA
2005-09-07,15.60,29.40,0.00,NA,NA,NA,NA
2005-09-08,17.20,25.00,2.50,NA,NA,NA,NA
2005-09-09,15.00,26.10,0.00,NA,NA,NA,NA
2005-09-10,12.20,28.90,0.00,NA,NA,NA,NA
2005-09-11,13.30,31.10,0.00,NA,NA,NA,NA
2005-09-12,14.40,32.20,0.00,NA,NA,NA,NA
2005-09-13,17.20,31.70,0.00,NA,NA,NA,NA
2005-09-14,17.80,26.10,1.00,NA,NA,NA,NA
2005-09-15,13.90,22.80,0.00,NA,NA,NA,NA
2005-09-16,12.80,17.80,16.30,NA,NA,NA,NA
2005-09-17,14.40,22.20,0.00,NA,NA,NA,NA
2005-09-18,12.20,25.60,0.30,NA,NA,NA,NA
2005-09-19,13.30,24.40,0.00,NA,NA,NA,NA
2005-09-20,15.60,25.00,0.00,NA,NA,NA,NA
2005-09-21,13.90,28.90,0.00,NA,NA,NA,NA
2005-09-22,16.70,22.80,42.70,NA,NA,NA,NA
2005-09-23,12.80,21.10,0.00,NA,NA,NA,NA
2005-09-24,11.10,21.10,0.00,NA,NA,NA,NA
2005-09-25,17.80,26.10,5.80,NA,NA,NA,NA
2005-09-26,12.20,20.60,15.70,NA,NA,NA,NA
2005-09-27,8.30,21.10,0.00,NA,NA,NA,NA
2005-09-28,8.90,23.30,8.90,NA,NA,NA,NA
2005-09-29,7.20,15.60,2.80,NA,NA,NA,NA
2005-09-30,3.90,19.40,0.00,NA,NA,NA,NA
2005-10-01,12.20,18.90,0.00,NA,NA,NA,NA
2005-10-02,10.60,26.10,0.00,NA,NA,NA,NA
2005-10-03,19.40,27.80,3.30,NA,NA,NA,NA
2005-10-04,16.70,28.30,0.00,NA,NA,NA,NA
2005-10-05,15.00,27.20,0.00,NA,NA,NA,NA
2005-10-06,9.40,25.00,0.00,NA,NA,NA,NA
2005-10-07,7.80,13.30,0.00,NA,NA,NA,NA
2005-10-08,6.10,13.30,0.00,NA,NA,NA,NA
2005-10-09,3.30,15.60,0.00,NA,NA,NA,NA
2005-10-10,8.90,13.90,0.00,NA,NA,NA,NA
2005-10-11,11.70,15.00,0.00,NA,NA,NA,NA
2005-10-12,12.20,16.10,0.30,NA,NA,NA,NA
2005-10-13,11.70,18.90,0.00,NA,NA,NA,NA
2005-10-14,10.00,21.70,0.00,NA,NA,NA,NA
2005-10-15,8.90,17.20,0.00,NA,NA,NA,NA
2005-10-16,6.10,15.00,0.00,NA,NA,NA,NA
2005-10-17,2.80,15.00,1.00,NA,NA,NA,NA
2005-10-18,6.70,18.30,0.30,NA,NA,NA,NA
2005-10-19,2.80,17.20,0.00,NA,NA,NA,NA
2005-10-20,0.60,12.80,0.00,NA,NA,NA,NA
2005-10-21,2.80,13.30,0.00,NA,NA,NA,NA
2005-10-22,3.90,11.70,0.00,NA,NA,NA,NA
2005-10-23,0.00,11.10,0.00,NA,NA,NA,NA
2005-10-24,2.80,9.40,0.30,NA,NA,NA,NA
2005-10-25,4.40,8.90,0.80,NA,NA,NA,NA
2005-10-26,1.70,7.20,0.00,NA,NA,NA,NA
2005-10-27,0.00,9.40,0.00,NA,NA,NA,NA
2005-10-28,-0.60,11.10,0.00,NA,NA,NA,NA
2005-10-29,-1.10,14.40,0.00,NA,NA,NA,NA
2005-10-30,-1.10,16.10,0.00,NA,NA,NA,NA
2005-10-31,10.00,15.60,2.00,NA,NA,NA,NA
2005-11-01,4.40,11.70,6.40,NA,NA,NA,NA
2005-11-02,-0.60,13.90,0.00,NA,NA,NA,NA
2005-11-03,10.00,21.10,0.00,NA,NA,NA,NA
2005-11-04,10.00,21.10,0.00,NA,NA,NA,NA
2005-11-05,6.70,15.60,0.00,NA,NA,NA,NA
2005-11-06,5.60,17.20,1.80,NA,NA,NA,NA
2005-11-07,2.80,13.90,0.00,NA,NA,NA,NA
2005-11-08,6.10,15.00,0.00,NA,NA,NA,NA
2005-11-09,6.10,19.40,19.60,NA,NA,NA,NA
2005-11-10,1.10,7.20,0.00,NA,NA,NA,NA
2005-11-11,-1.10,12.80,0.00,NA,NA,NA,NA
2005-11-12,4.40,18.90,0.00,NA,NA,NA,NA
2005-11-13,NA,NA,NA,NA,NA,NA,NA
2005-11-14,2.80,8.90,1.30,NA,NA,NA,NA
2005-11-15,3.90,16.10,31.20,NA,NA,NA,NA
2005-11-16,-2.80,15.60,0.00,NA,NA,NA,NA
2005-11-17,-6.10,-1.70,0.00,NA,NA,NA,NA
2005-11-18,-6.10,0.60,0.00,NA,NA,NA,NA
2005-11-19,0.60,10.00,0.00,NA,NA,NA,NA
2005-11-20,-1.10,11.10,0.00,NA,NA,NA,NA
2005-11-21,3.30,6.10,0.00,NA,NA,NA,NA
2005-11-22,-6.10,3.90,0.00,NA,NA,NA,NA
2005-11-23,-7.80,1.10,0.50,NA,NA,NA,NA
2005-11-24,-11.10,1.10,2.30,NA,NA,NA,NA
2005-11-25,-9.40,-2.80,1.50,NA,NA,NA,NA
2005-11-26,-6.70,0.00,1.30,NA,NA,NA,NA
2005-11-27,-1.70,6.70,7.40,NA,NA,NA,NA
2005-11-28,6.70,17.20,23.40,NA,NA,NA,NA
2005-11-29,-0.60,9.40,0.00,NA,NA,NA,NA
2005-11-30,-2.20,-0.60,0.00,NA,NA,NA,NA
2005-12-01,-2.80,-1.10,0.00,NA,NA,NA,NA
2005-12-02,-7.20,-1.70,0.00,NA,NA,NA,NA
2005-12-03,-8.90,-3.30,0.00,NA,NA,NA,NA
