Daily data for a single station.
StationID:  , USW00094818
StationName:, "RACINE BATTEN AP"
Lat&Long    , 42.761, -87.814
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,20.60,32.80,0.00,NA,NA,NA,NA
2005-08-02,20.60,31.10,0.00,NA,NA,NA,NA
2005-08-03,23.30,35.00,0.50,NA,NA,NA,NA
2005-08-04,20.00,31.10,0.00,NA,NA,NA,NA
2005-08-05,16.10,27.20,0.00,NA,NA,NA,NA
2005-08-06,15.00,27.80,0.00,NA,NA,NA,NA
2005-08-07,17.20,29.40,0.00,NA,NA,NA,NA
2005-08-08,18.90,30.60,0.00,NA,NA,NA,NA
2005-08-09,21.70,33.90,0.00,NA,NA,NA,NA
2005-08-10,20.00,28.30,0.00,NA,NA,NA,NA
2005-08-11,18.30,23.90,4.10,NA,NA,NA,NA
2005-08-12,20.00,28.30,19.30,NA,NA,NA,NA
2005-08-13,17.20,21.70,0.00,NA,NA,NA,NA
2005-08-14,15.00,25.00,0.00,NA,NA,NA,NA
2005-08-15,15.00,25.60,0.00,NA,NA,NA,NA
2005-08-16,16.70,26.70,0.00,NA,NA,NA,NA
2005-08-17,15.60,26.70,0.00,NA,NA,NA,NA
2005-08-18,22.20,26.70,27.40,NA,NA,NA,NA
2005-08-19,20.00,27.20,0.00,NA,NA,NA,NA
2005-08-20,19.40,30.00,5.10,NA,NA,NA,NA
2005-08-21,17.20,26.10,0.00,NA,NA,NA,NA
2005-08-22,13.90,20.60,0.00,NA,NA,NA,NA
2005-08-23,14.40,21.70,0.00,NA,NA,NA,NA
2005-08-24,18.30,22.80,0.00,NA,NA,NA,NA
2005-08-25,18.90,23.30,0.00,NA,NA,NA,NA
2005-08-26,17.20,26.70,1.50,NA,NA,NA,NA
2005-08-27,18.90,27.20,1.30,NA,NA,NA,NA
2005-08-28,16.70,26.70,0.00,NA,NA,NA,NA
2005-08-29,16.10,26.70,0.00,NA,NA,NA,NA
2005-08-30,15.60,23.90,0.00,NA,NA,NA,NA
2005-08-31,16.70,23.90,0.00,NA,NA,NA,NA
2005-09-01,17.80,28.90,0.00,NA,NA,NA,NA
2005-09-02,15.00,27.20,0.00,NA,NA,NA,NA
2005-09-03,13.90,23.90,0.00,NA,NA,NA,NA
