Daily data for a single station.
StationID:  , USW00094855
StationName:, "OSHKOSH WITTMAN AP"
Lat&Long    , 43.984, -88.557
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,20.00,31.70,0.00,NA,NA,NA,NA
2005-08-02,20.60,32.20,0.00,NA,NA,NA,NA
2005-08-03,21.10,32.20,0.00,NA,NA,NA,NA
2005-08-04,18.30,28.30,5.10,NA,NA,NA,NA
2005-08-05,13.90,27.80,0.00,NA,NA,NA,NA
2005-08-06,13.30,28.90,0.00,NA,NA,NA,NA
2005-08-07,14.40,30.60,0.00,NA,NA,NA,NA
2005-08-08,16.70,32.20,0.00,NA,NA,NA,NA
2005-08-09,20.60,33.30,5.30,NA,NA,NA,NA
2005-08-10,19.40,29.40,0.00,NA,NA,NA,NA
2005-08-11,19.40,23.90,6.10,NA,NA,NA,NA
2005-08-12,18.30,26.10,0.50,NA,NA,NA,NA
2005-08-13,16.70,23.90,0.00,NA,NA,NA,NA
2005-08-14,12.80,26.70,0.00,NA,NA,NA,NA
2005-08-15,11.10,27.20,0.00,NA,NA,NA,NA
2005-08-16,15.00,28.30,0.00,NA,NA,NA,NA
2005-08-17,14.40,27.80,0.00,NA,NA,NA,NA
2005-08-18,18.90,28.30,2.30,NA,NA,NA,NA
2005-08-19,20.60,28.90,0.00,NA,NA,NA,NA
2005-08-20,18.30,29.40,0.50,NA,NA,NA,NA
2005-08-21,13.90,25.00,0.00,NA,NA,NA,NA
2005-08-22,10.00,21.70,0.00,NA,NA,NA,NA
2005-08-23,11.10,21.70,0.00,NA,NA,NA,NA
2005-08-24,10.00,25.00,0.00,NA,NA,NA,NA
2005-08-25,13.30,26.70,0.00,NA,NA,NA,NA
2005-08-26,13.90,28.90,24.40,NA,NA,NA,NA
2005-08-27,18.30,28.30,9.10,NA,NA,NA,NA
2005-08-28,12.80,26.70,0.00,NA,NA,NA,NA
2005-08-29,13.90,27.80,0.00,NA,NA,NA,NA
2005-08-30,15.60,23.90,0.00,NA,NA,NA,NA
2005-08-31,13.30,25.60,0.00,NA,NA,NA,NA
2005-09-01,17.20,28.30,0.00,NA,NA,NA,NA
2005-09-02,14.40,25.60,0.00,NA,NA,NA,NA
2005-09-03,11.70,25.00,0.00,NA,NA,NA,NA
2005-09-04,15.00,27.20,0.00,NA,NA,NA,NA
2005-09-05,13.90,31.10,0.00,NA,NA,NA,NA
2005-09-06,18.30,30.00,0.00,NA,NA,NA,NA
2005-09-07,16.70,27.20,17.30,NA,NA,NA,NA
2005-09-08,16.70,22.80,0.00,NA,NA,NA,NA
2005-09-09,12.80,27.80,0.00,NA,NA,NA,NA
2005-09-10,19.40,32.20,0.00,NA,NA,NA,NA
2005-09-11,19.40,32.20,0.00,NA,NA,NA,NA
2005-09-12,20.00,31.70,0.00,NA,NA,NA,NA
2005-09-13,17.80,31.10,7.90,NA,NA,NA,NA
2005-09-14,12.20,22.20,0.00,NA,NA,NA,NA
2005-09-15,6.70,21.70,0.00,NA,NA,NA,NA
2005-09-16,10.60,23.90,0.30,NA,NA,NA,NA
2005-09-17,8.90,25.60,0.00,NA,NA,NA,NA
2005-09-18,15.00,26.70,0.00,NA,NA,NA,NA
2005-09-19,15.60,25.00,10.90,NA,NA,NA,NA
2005-09-20,9.40,27.80,0.00,NA,NA,NA,NA
2005-09-21,17.20,31.10,0.00,NA,NA,NA,NA
2005-09-22,12.80,23.90,25.70,NA,NA,NA,NA
2005-09-23,8.90,19.40,0.00,NA,NA,NA,NA
2005-09-24,13.90,20.60,0.00,NA,NA,NA,NA
2005-09-25,17.20,20.00,30.00,NA,NA,NA,NA
2005-09-26,10.00,20.00,0.80,NA,NA,NA,NA
2005-09-27,6.70,22.80,0.00,NA,NA,NA,NA
2005-09-28,8.30,19.40,9.40,NA,NA,NA,NA
2005-09-29,3.90,15.00,0.00,NA,NA,NA,NA
2005-09-30,8.30,22.20,0.00,NA,NA,NA,NA
2005-10-01,11.70,27.20,0.00,NA,NA,NA,NA
2005-10-02,12.80,27.80,0.00,NA,NA,NA,NA
2005-10-03,21.70,30.60,0.00,NA,NA,NA,NA
2005-10-04,20.60,30.00,0.50,NA,NA,NA,NA
2005-10-05,12.20,29.40,4.10,NA,NA,NA,NA
2005-10-06,5.00,12.20,4.60,NA,NA,NA,NA
2005-10-07,3.30,10.00,0.00,NA,NA,NA,NA
2005-10-08,3.90,11.10,0.00,NA,NA,NA,NA
2005-10-09,2.20,15.00,0.00,NA,NA,NA,NA
2005-10-10,3.90,16.10,0.00,NA,NA,NA,NA
2005-10-11,7.20,14.40,1.50,NA,NA,NA,NA
2005-10-12,11.70,16.10,1.00,NA,NA,NA,NA
2005-10-13,11.10,17.80,1.30,NA,NA,NA,NA
2005-10-14,8.90,22.80,0.30,NA,NA,NA,NA
2005-10-15,6.10,17.20,0.00,NA,NA,NA,NA
2005-10-16,3.30,13.90,0.00,NA,NA,NA,NA
2005-10-17,5.00,21.70,2.50,NA,NA,NA,NA
2005-10-18,7.20,20.60,0.00,NA,NA,NA,NA
2005-10-19,2.80,16.70,0.00,NA,NA,NA,NA
2005-10-20,0.60,13.90,0.00,NA,NA,NA,NA
2005-10-21,2.80,12.80,0.00,NA,NA,NA,NA
2005-10-22,5.60,8.30,2.80,NA,NA,NA,NA
2005-10-23,3.30,9.40,5.10,NA,NA,NA,NA
2005-10-24,2.80,11.10,0.00,NA,NA,NA,NA
2005-10-25,1.10,11.10,0.00,NA,NA,NA,NA
2005-10-26,3.90,9.40,0.00,NA,NA,NA,NA
2005-10-27,0.00,11.10,0.00,NA,NA,NA,NA
2005-10-28,-2.20,13.90,0.00,NA,NA,NA,NA
2005-10-29,0.60,17.20,0.00,NA,NA,NA,NA
2005-10-30,7.80,15.60,2.30,NA,NA,NA,NA
2005-10-31,5.60,13.90,0.00,NA,NA,NA,NA
2005-11-01,2.80,10.60,0.00,NA,NA,NA,NA
2005-11-02,-0.60,16.70,0.00,NA,NA,NA,NA
2005-11-03,9.40,15.60,0.00,NA,NA,NA,NA
2005-11-04,2.80,13.90,0.00,NA,NA,NA,NA
2005-11-05,5.60,12.20,22.90,NA,NA,NA,NA
2005-11-06,2.80,10.60,10.20,NA,NA,NA,NA
2005-11-07,2.20,15.60,0.00,NA,NA,NA,NA
2005-11-08,1.10,15.00,0.00,NA,NA,NA,NA
2005-11-09,2.20,15.00,0.00,NA,NA,NA,NA
2005-11-10,-1.70,8.30,0.00,NA,NA,NA,NA
2005-11-11,-0.60,15.00,0.00,NA,NA,NA,NA
2005-11-12,6.70,16.70,2.50,NA,NA,NA,NA
2005-11-13,1.70,15.00,0.00,NA,NA,NA,NA
2005-11-14,-2.80,6.10,1.30,NA,NA,NA,NA
2005-11-15,1.10,6.10,17.00,NA,NA,NA,NA
2005-11-16,-8.30,1.70,0.80,NA,NA,NA,NA
2005-11-17,-11.70,-6.10,0.00,NA,NA,NA,NA
2005-11-18,-6.70,2.80,0.00,NA,NA,NA,NA
2005-11-19,1.70,7.20,0.00,NA,NA,NA,NA
2005-11-20,2.20,4.40,0.00,NA,NA,NA,NA
2005-11-21,1.10,7.20,0.00,NA,NA,NA,NA
2005-11-22,-5.00,1.70,0.00,NA,NA,NA,NA
2005-11-23,-2.20,4.40,1.80,NA,NA,NA,NA
2005-11-24,-11.10,-2.20,0.00,NA,NA,NA,NA
2005-11-25,-10.60,-4.40,0.80,NA,NA,NA,NA
2005-11-26,-6.70,3.90,0.00,NA,NA,NA,NA
2005-11-27,3.30,10.00,11.20,NA,NA,NA,NA
2005-11-28,5.00,15.00,6.60,NA,NA,NA,NA
2005-11-29,-3.30,5.00,0.30,NA,NA,NA,NA
2005-11-30,-6.70,-3.30,0.00,NA,NA,NA,NA
2005-12-01,-9.40,-3.30,2.30,NA,NA,NA,NA
2005-12-02,-12.80,-6.70,0.00,NA,NA,NA,NA
2005-12-03,-12.80,-5.00,0.30,NA,NA,NA,NA
