Daily data for a single station.
StationID:  , USW00094871
StationName:, "BENTON HARBOR AP"
Lat&Long    , 42.124, -86.427
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,15.60,30.60,0.00,NA,NA,NA,NA
2005-08-02,15.60,32.20,0.00,NA,NA,NA,NA
2005-08-03,20.00,33.90,0.00,NA,NA,NA,NA
2005-08-04,21.70,29.40,0.00,NA,NA,NA,NA
2005-08-05,12.80,27.80,0.00,NA,NA,NA,NA
2005-08-06,10.00,27.20,0.00,NA,NA,NA,NA
2005-08-07,NA,NA,0.00,NA,NA,NA,NA
2005-08-08,16.70,30.00,0.00,NA,NA,NA,NA
2005-08-09,16.70,33.30,0.00,NA,NA,NA,NA
2005-08-10,15.60,28.30,0.00,NA,NA,NA,NA
2005-08-11,12.80,23.30,1.00,NA,NA,NA,NA
2005-08-12,20.60,27.20,2.50,NA,NA,NA,NA
2005-08-13,18.30,24.40,0.30,NA,NA,NA,NA
2005-08-14,15.60,24.40,0.00,NA,NA,NA,NA
2005-08-15,13.30,26.10,0.30,NA,NA,NA,NA
2005-08-16,12.80,27.20,0.00,NA,NA,NA,NA
2005-08-17,9.40,27.80,0.00,NA,NA,NA,NA
2005-08-18,16.10,28.30,0.50,NA,NA,NA,NA
2005-08-19,17.80,26.70,0.00,NA,NA,NA,NA
2005-08-20,18.30,27.80,61.00,NA,NA,NA,NA
2005-08-21,14.40,24.40,0.00,NA,NA,NA,NA
2005-08-22,11.10,21.70,0.00,NA,NA,NA,NA
2005-08-23,8.30,22.20,0.00,NA,NA,NA,NA
2005-08-24,8.90,26.10,0.00,NA,NA,NA,NA
2005-08-25,10.60,27.20,0.00,NA,NA,NA,NA
2005-08-26,16.10,28.90,0.00,NA,NA,NA,NA
2005-08-27,13.90,24.40,0.30,NA,NA,NA,NA
2005-08-28,13.90,25.60,0.00,NA,NA,NA,NA
2005-08-29,13.90,26.10,0.00,NA,NA,NA,NA
2005-08-30,10.60,28.90,0.00,NA,NA,NA,NA
2005-08-31,11.70,23.90,0.00,NA,NA,NA,NA
2005-09-01,10.60,25.60,0.00,NA,NA,NA,NA
2005-09-02,11.70,23.90,0.00,NA,NA,NA,NA
2005-09-03,8.30,23.90,0.00,NA,NA,NA,NA
2005-09-04,8.30,25.60,0.00,NA,NA,NA,NA
2005-09-05,12.20,28.90,0.00,NA,NA,NA,NA
2005-09-06,14.40,26.70,0.00,NA,NA,NA,NA
2005-09-07,13.30,28.90,0.00,NA,NA,NA,NA
2005-09-08,15.00,26.70,0.00,NA,NA,NA,NA
2005-09-09,13.90,30.00,0.00,NA,NA,NA,NA
2005-09-10,16.70,31.10,0.00,NA,NA,NA,NA
2005-09-11,17.80,31.10,0.00,NA,NA,NA,NA
2005-09-12,15.00,30.60,0.00,NA,NA,NA,NA
2005-09-13,20.00,32.80,0.00,NA,NA,NA,NA
2005-09-14,12.80,26.70,17.50,NA,NA,NA,NA
2005-09-15,6.70,20.60,1.30,NA,NA,NA,NA
2005-09-16,9.40,18.90,45.70,NA,NA,NA,NA
2005-09-17,6.10,21.10,0.30,NA,NA,NA,NA
2005-09-18,8.90,25.00,0.00,NA,NA,NA,NA
2005-09-19,13.30,27.20,3.60,NA,NA,NA,NA
2005-09-20,12.20,23.30,0.00,NA,NA,NA,NA
2005-09-21,9.40,29.40,0.00,NA,NA,NA,NA
2005-09-22,18.30,30.00,15.00,NA,NA,NA,NA
2005-09-23,12.20,20.00,0.00,NA,NA,NA,NA
2005-09-24,14.40,22.80,0.30,NA,NA,NA,NA
2005-09-25,19.40,23.90,10.20,NA,NA,NA,NA
2005-09-26,10.60,20.60,0.80,NA,NA,NA,NA
2005-09-27,5.60,20.00,0.00,NA,NA,NA,NA
2005-09-28,8.90,22.80,33.80,NA,NA,NA,NA
2005-09-29,5.00,13.90,0.50,NA,NA,NA,NA
2005-09-30,4.40,20.00,0.00,NA,NA,NA,NA
2005-10-01,9.40,25.00,0.00,NA,NA,NA,NA
2005-10-02,12.80,27.20,3.80,NA,NA,NA,NA
2005-10-03,19.40,28.90,0.80,NA,NA,NA,NA
2005-10-04,19.40,30.00,0.00,NA,NA,NA,NA
2005-10-05,18.90,28.90,0.00,NA,NA,NA,NA
2005-10-06,11.10,22.80,0.00,NA,NA,NA,NA
2005-10-07,8.90,13.90,0.00,NA,NA,NA,NA
2005-10-08,3.30,10.00,0.00,NA,NA,NA,NA
2005-10-09,2.80,15.60,0.00,NA,NA,NA,NA
2005-10-10,5.00,14.40,0.00,NA,NA,NA,NA
2005-10-11,11.10,15.00,0.00,NA,NA,NA,NA
2005-10-12,12.80,17.80,0.00,NA,NA,NA,NA
2005-10-13,10.00,20.00,0.00,NA,NA,NA,NA
2005-10-14,9.40,20.60,0.00,NA,NA,NA,NA
2005-10-15,3.90,18.90,0.00,NA,NA,NA,NA
2005-10-16,2.20,15.00,0.00,NA,NA,NA,NA
2005-10-17,0.60,17.20,1.30,NA,NA,NA,NA
2005-10-18,8.30,16.70,0.00,NA,NA,NA,NA
2005-10-19,3.90,18.30,0.00,NA,NA,NA,NA
2005-10-20,1.10,13.30,0.00,NA,NA,NA,NA
2005-10-21,-0.60,15.60,0.00,NA,NA,NA,NA
2005-10-22,1.70,11.10,5.30,NA,NA,NA,NA
2005-10-23,5.60,8.90,4.10,NA,NA,NA,NA
2005-10-24,4.40,11.10,0.00,NA,NA,NA,NA
2005-10-25,3.90,10.60,0.00,NA,NA,NA,NA
2005-10-26,0.60,8.90,0.30,NA,NA,NA,NA
2005-10-27,-2.80,10.00,0.00,NA,NA,NA,NA
2005-10-28,-3.90,11.10,0.00,NA,NA,NA,NA
2005-10-29,-5.00,13.90,0.00,NA,NA,NA,NA
2005-10-30,4.40,17.20,0.00,NA,NA,NA,NA
2005-10-31,10.60,15.00,12.20,NA,NA,NA,NA
2005-11-01,6.70,11.10,11.20,NA,NA,NA,NA
2005-11-02,1.10,15.00,0.00,NA,NA,NA,NA
2005-11-03,11.10,19.40,0.00,NA,NA,NA,NA
2005-11-04,7.80,19.40,0.00,NA,NA,NA,NA
2005-11-05,6.70,18.90,0.80,NA,NA,NA,NA
2005-11-06,6.70,18.90,21.80,NA,NA,NA,NA
2005-11-07,3.90,15.60,0.00,NA,NA,NA,NA
2005-11-08,3.90,17.80,0.00,NA,NA,NA,NA
2005-11-09,7.80,20.00,0.00,NA,NA,NA,NA
2005-11-10,3.90,7.80,0.00,NA,NA,NA,NA
2005-11-11,-1.70,14.40,0.00,NA,NA,NA,NA
2005-11-12,8.30,19.40,0.50,NA,NA,NA,NA
2005-11-13,8.30,16.70,0.80,NA,NA,NA,NA
2005-11-14,-1.10,10.00,1.30,NA,NA,NA,NA
2005-11-15,4.40,15.60,6.90,NA,NA,NA,NA
2005-11-16,-3.90,8.30,0.00,NA,NA,NA,NA
2005-11-17,-10.00,-3.30,0.50,NA,NA,NA,NA
2005-11-18,-7.20,2.20,0.00,NA,NA,NA,NA
2005-11-19,0.00,12.80,0.00,NA,NA,NA,NA
2005-11-20,-1.70,8.30,0.00,NA,NA,NA,NA
2005-11-21,3.90,6.70,0.30,NA,NA,NA,NA
2005-11-22,-0.60,5.60,3.80,NA,NA,NA,NA
2005-11-23,-3.30,5.60,3.00,NA,NA,NA,NA
2005-11-24,-8.90,5.60,0.30,NA,NA,NA,NA
2005-11-25,-6.10,-2.80,1.80,NA,NA,NA,NA
2005-11-26,-6.70,5.60,0.00,NA,NA,NA,NA
2005-11-27,3.90,12.20,4.80,NA,NA,NA,NA
2005-11-28,8.90,16.70,12.20,NA,NA,NA,NA
2005-11-29,-0.60,8.90,0.00,NA,NA,NA,NA
2005-11-30,-3.90,-0.60,0.30,NA,NA,NA,NA
2005-12-01,-3.90,0.00,2.00,NA,NA,NA,NA
2005-12-02,-5.60,-2.20,0.00,NA,NA,NA,NA
2005-12-03,-6.10,-2.80,0.30,NA,NA,NA,NA
2005-12-04,-6.70,-1.70,1.00,NA,NA,NA,NA
2005-12-05,-6.70,-3.30,0.00,NA,NA,NA,NA
2005-12-06,-7.80,-5.60,0.00,NA,NA,NA,NA
2005-12-07,-10.00,-6.70,0.00,NA,NA,NA,NA
2005-12-08,-19.40,-5.60,5.80,NA,NA,NA,NA
2005-12-09,-11.70,-0.60,1.80,NA,NA,NA,NA
2005-12-10,-12.20,0.00,0.30,NA,NA,NA,NA
2005-12-11,-4.40,1.10,0.30,NA,NA,NA,NA
2005-12-12,-5.60,-2.80,0.00,NA,NA,NA,NA
2005-12-13,-3.90,-1.70,0.00,NA,NA,NA,NA
2005-12-14,-4.40,1.70,1.30,NA,NA,NA,NA
2005-12-15,-0.60,2.80,1.50,NA,NA,NA,NA
