Daily data for a single station.
StationID:  , USW00094889
StationName:, "ANN ARBOR MUNI AP"
Lat&Long    , 42.223, -83.744
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,14.40,30.60,0.00,NA,NA,NA,NA
2005-08-02,15.60,31.70,0.30,NA,NA,NA,NA
2005-08-03,16.10,31.70,0.00,NA,NA,NA,NA
2005-08-04,17.80,28.30,0.30,NA,NA,NA,NA
2005-08-05,15.60,28.90,0.00,NA,NA,NA,NA
2005-08-06,13.30,28.30,0.00,NA,NA,NA,NA
2005-08-07,12.20,29.40,0.00,NA,NA,NA,NA
2005-08-08,12.20,31.10,0.30,NA,NA,NA,NA
2005-08-09,19.40,23.90,0.00,NA,NA,NA,NA
2005-08-10,16.70,29.40,7.60,NA,NA,NA,NA
2005-08-11,19.40,26.10,0.00,NA,NA,NA,NA
2005-08-12,20.00,31.10,0.30,NA,NA,NA,NA
2005-08-13,18.30,27.20,12.20,NA,NA,NA,NA
2005-08-14,17.20,24.40,2.80,NA,NA,NA,NA
2005-08-15,14.40,25.60,0.30,NA,NA,NA,NA
2005-08-16,11.70,27.80,0.00,NA,NA,NA,NA
2005-08-17,13.30,28.30,0.30,NA,NA,NA,NA
2005-08-18,16.10,28.30,0.00,NA,NA,NA,NA
2005-08-19,17.80,30.00,0.00,NA,NA,NA,NA
2005-08-20,14.40,28.30,9.40,NA,NA,NA,NA
2005-08-21,12.20,27.80,0.30,NA,NA,NA,NA
2005-08-22,8.30,20.00,0.00,NA,NA,NA,NA
2005-08-23,13.90,22.20,0.00,NA,NA,NA,NA
2005-08-24,7.20,25.60,0.30,NA,NA,NA,NA
2005-08-25,12.80,25.60,0.00,NA,NA,NA,NA
2005-08-26,16.70,29.40,0.00,NA,NA,NA,NA
2005-08-27,15.00,28.90,3.30,NA,NA,NA,NA
2005-08-28,10.00,31.10,0.00,NA,NA,NA,NA
2005-08-29,12.80,30.60,0.00,NA,NA,NA,NA
2005-08-30,14.40,23.90,1.30,NA,NA,NA,NA
2005-08-31,15.60,26.70,0.00,NA,NA,NA,NA
2005-09-01,11.10,27.80,0.00,NA,NA,NA,NA
2005-09-02,8.90,27.20,0.00,NA,NA,NA,NA
2005-09-03,7.20,26.10,0.30,NA,NA,NA,NA
2005-09-04,8.30,26.10,0.00,NA,NA,NA,NA
2005-09-05,7.20,26.10,0.30,NA,NA,NA,NA
2005-09-06,8.90,27.80,0.00,NA,NA,NA,NA
2005-09-07,10.00,28.90,0.00,NA,NA,NA,NA
2005-09-08,17.20,23.90,0.50,NA,NA,NA,NA
2005-09-09,10.60,26.70,0.00,NA,NA,NA,NA
2005-09-10,8.30,28.90,0.30,NA,NA,NA,NA
2005-09-11,8.90,31.10,0.00,NA,NA,NA,NA
2005-09-12,9.40,31.70,0.00,NA,NA,NA,NA
2005-09-13,10.60,31.10,0.30,NA,NA,NA,NA
2005-09-14,17.80,25.60,1.00,NA,NA,NA,NA
2005-09-15,15.00,22.80,0.80,NA,NA,NA,NA
2005-09-16,11.70,17.80,20.30,NA,NA,NA,NA
2005-09-17,10.60,21.10,2.80,NA,NA,NA,NA
2005-09-18,8.30,25.60,0.30,NA,NA,NA,NA
2005-09-19,9.40,24.40,1.00,NA,NA,NA,NA
2005-09-20,10.00,25.60,0.00,NA,NA,NA,NA
2005-09-21,7.80,28.90,0.00,NA,NA,NA,NA
2005-09-22,9.40,29.40,10.70,NA,NA,NA,NA
2005-09-23,13.30,21.70,0.00,NA,NA,NA,NA
2005-09-24,11.70,21.10,0.00,NA,NA,NA,NA
2005-09-25,13.90,25.60,7.40,NA,NA,NA,NA
2005-09-26,12.20,22.80,8.60,NA,NA,NA,NA
2005-09-27,3.90,25.00,0.00,NA,NA,NA,NA
2005-09-28,4.40,23.90,8.60,NA,NA,NA,NA
2005-09-29,1.70,16.10,2.30,NA,NA,NA,NA
2005-09-30,-0.60,19.40,0.00,NA,NA,NA,NA
2005-10-01,9.40,22.80,0.00,NA,NA,NA,NA
2005-10-02,6.10,26.70,0.00,NA,NA,NA,NA
2005-10-03,15.00,28.90,0.00,NA,NA,NA,NA
2005-10-04,12.80,28.30,0.00,NA,NA,NA,NA
2005-10-05,10.00,27.80,0.00,NA,NA,NA,NA
2005-10-06,9.40,25.60,0.30,NA,NA,NA,NA
2005-10-07,7.20,13.30,0.00,NA,NA,NA,NA
2005-10-08,6.70,13.30,0.00,NA,NA,NA,NA
2005-10-09,3.90,16.70,0.00,NA,NA,NA,NA
2005-10-10,9.40,13.30,0.50,NA,NA,NA,NA
2005-10-11,10.60,14.40,0.00,NA,NA,NA,NA
2005-10-12,11.10,16.10,0.00,NA,NA,NA,NA
2005-10-13,10.00,20.00,0.00,NA,NA,NA,NA
2005-10-14,5.60,22.20,0.00,NA,NA,NA,NA
2005-10-15,6.10,18.90,0.00,NA,NA,NA,NA
2005-10-16,-0.60,15.00,0.00,NA,NA,NA,NA
2005-10-17,-3.30,16.10,1.50,NA,NA,NA,NA
2005-10-18,2.80,20.00,0.00,NA,NA,NA,NA
2005-10-19,0.00,18.30,0.00,NA,NA,NA,NA
2005-10-20,-2.20,13.30,0.00,NA,NA,NA,NA
2005-10-21,1.10,13.90,0.00,NA,NA,NA,NA
2005-10-22,-3.30,11.10,0.00,NA,NA,NA,NA
2005-10-23,-3.30,10.00,0.00,NA,NA,NA,NA
2005-10-24,3.30,10.60,0.00,NA,NA,NA,NA
2005-10-25,4.40,10.00,0.80,NA,NA,NA,NA
2005-10-26,0.60,8.90,0.00,NA,NA,NA,NA
2005-10-27,-6.10,9.40,0.00,NA,NA,NA,NA
2005-10-28,-5.00,11.10,0.00,NA,NA,NA,NA
2005-10-29,-7.20,14.40,0.00,NA,NA,NA,NA
