Daily data for a single station.
StationID:  , USW00094892
StationName:, "WEST CHICAGO DUPAGE AP"
Lat&Long    , 41.914, -88.246
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,17.20,32.80,0.00,NA,NA,NA,NA
2005-08-02,18.30,32.80,0.00,NA,NA,NA,NA
2005-08-03,21.70,33.30,0.00,NA,NA,NA,NA
2005-08-04,22.80,31.10,0.00,NA,NA,NA,NA
2005-08-05,15.00,29.40,0.00,NA,NA,NA,NA
2005-08-06,12.80,30.60,0.00,NA,NA,NA,NA
2005-08-07,14.40,31.10,0.00,NA,NA,NA,NA
2005-08-08,15.00,32.80,0.00,NA,NA,NA,NA
2005-08-09,17.80,34.40,0.00,NA,NA,NA,NA
2005-08-10,19.40,31.70,0.00,NA,NA,NA,NA
2005-08-11,18.90,25.00,5.10,NA,NA,NA,NA
2005-08-12,21.70,28.90,17.80,NA,NA,NA,NA
2005-08-13,18.30,24.40,0.50,NA,NA,NA,NA
2005-08-14,15.00,24.40,0.00,NA,NA,NA,NA
2005-08-15,13.90,28.30,0.00,NA,NA,NA,NA
2005-08-16,16.10,29.40,0.00,NA,NA,NA,NA
2005-08-17,14.40,29.40,0.00,NA,NA,NA,NA
2005-08-18,20.00,28.30,10.90,NA,NA,NA,NA
2005-08-19,18.90,30.00,0.00,NA,NA,NA,NA
2005-08-20,18.30,29.40,29.20,NA,NA,NA,NA
2005-08-21,16.10,26.70,0.00,NA,NA,NA,NA
2005-08-22,12.20,23.90,0.00,NA,NA,NA,NA
2005-08-23,10.60,22.80,0.00,NA,NA,NA,NA
2005-08-24,10.60,25.60,0.00,NA,NA,NA,NA
2005-08-25,17.80,26.10,0.00,NA,NA,NA,NA
2005-08-26,18.30,28.30,0.00,NA,NA,NA,NA
2005-08-27,16.10,28.30,0.00,NA,NA,NA,NA
2005-08-28,15.00,28.90,0.00,NA,NA,NA,NA
2005-08-29,15.60,28.90,0.00,NA,NA,NA,NA
