Daily data for a single station.
StationID:  , USW00094898
StationName:, "PORT HOPE"
Lat&Long    , 44.022, -82.793
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,20.00,30.60,0.00,NA,NA,NA,NA
2005-08-02,20.60,32.20,0.00,NA,NA,NA,NA
2005-08-03,21.10,31.10,0.00,NA,NA,NA,NA
2005-08-04,18.90,28.90,7.40,NA,NA,NA,NA
2005-08-05,17.20,25.00,0.00,NA,NA,NA,NA
2005-08-06,15.60,26.70,0.00,NA,NA,NA,NA
2005-08-07,18.30,29.40,0.00,NA,NA,NA,NA
2005-08-08,19.40,30.00,0.00,NA,NA,NA,NA
2005-08-09,21.10,32.80,0.00,NA,NA,NA,NA
2005-08-10,18.90,26.10,0.30,NA,NA,NA,NA
2005-08-11,18.30,22.80,0.00,NA,NA,NA,NA
2005-08-12,16.70,27.80,11.70,NA,NA,NA,NA
2005-08-13,19.40,24.40,0.00,NA,NA,NA,NA
2005-08-14,15.00,23.30,0.00,NA,NA,NA,NA
2005-08-15,13.30,23.90,0.00,NA,NA,NA,NA
2005-08-16,17.20,25.60,0.00,NA,NA,NA,NA
2005-08-17,19.40,22.80,0.00,NA,NA,NA,NA
2005-08-18,18.30,24.40,0.00,NA,NA,NA,NA
2005-08-19,19.40,26.10,7.40,NA,NA,NA,NA
2005-08-20,17.20,22.80,0.80,NA,NA,NA,NA
2005-08-21,16.70,24.40,0.00,NA,NA,NA,NA
2005-08-22,14.40,18.30,6.60,NA,NA,NA,NA
2005-08-23,15.00,20.00,0.00,NA,NA,NA,NA
2005-08-24,11.70,21.70,0.00,NA,NA,NA,NA
2005-08-25,13.30,22.80,0.00,NA,NA,NA,NA
2005-08-26,16.70,22.80,0.00,NA,NA,NA,NA
2005-08-27,17.20,25.60,15.50,NA,NA,NA,NA
2005-08-28,16.10,27.80,0.00,NA,NA,NA,NA
2005-08-29,15.60,24.40,0.00,NA,NA,NA,NA
2005-08-30,17.20,22.20,0.00,NA,NA,NA,NA
2005-08-31,15.60,23.30,0.00,NA,NA,NA,NA
2005-09-01,14.40,26.70,0.00,NA,NA,NA,NA
2005-09-02,15.00,23.90,0.00,NA,NA,NA,NA
2005-09-03,15.60,22.20,0.00,NA,NA,NA,NA
2005-09-04,13.30,20.60,0.00,NA,NA,NA,NA
2005-09-05,12.20,24.40,0.00,NA,NA,NA,NA
2005-09-06,15.60,27.80,0.00,NA,NA,NA,NA
2005-09-07,18.90,29.40,7.10,NA,NA,NA,NA
2005-09-08,13.30,21.70,0.50,NA,NA,NA,NA
2005-09-09,11.70,22.20,0.00,NA,NA,NA,NA
2005-09-10,12.80,22.80,0.00,NA,NA,NA,NA
2005-09-11,16.70,31.10,0.00,NA,NA,NA,NA
2005-09-12,20.00,32.20,0.00,NA,NA,NA,NA
2005-09-13,20.00,32.20,0.00,NA,NA,NA,NA
2005-09-14,18.30,25.00,9.10,NA,NA,NA,NA
2005-09-15,16.10,20.60,0.00,NA,NA,NA,NA
2005-09-16,14.40,20.60,0.30,NA,NA,NA,NA
2005-09-17,11.10,21.70,0.00,NA,NA,NA,NA
2005-09-18,10.60,22.80,0.00,NA,NA,NA,NA
2005-09-19,15.60,26.10,0.00,NA,NA,NA,NA
2005-09-20,15.60,23.90,0.00,NA,NA,NA,NA
2005-09-21,15.60,30.00,0.00,NA,NA,NA,NA
2005-09-22,17.80,25.60,5.60,NA,NA,NA,NA
2005-09-23,14.40,17.80,0.00,NA,NA,NA,NA
2005-09-24,10.60,19.40,0.00,NA,NA,NA,NA
2005-09-25,17.80,25.00,53.60,NA,NA,NA,NA
2005-09-26,15.00,20.00,15.00,NA,NA,NA,NA
2005-09-27,9.40,21.70,0.00,NA,NA,NA,NA
2005-09-28,12.80,23.90,6.10,NA,NA,NA,NA
2005-09-29,8.30,13.90,3.60,NA,NA,NA,NA
2005-09-30,8.30,20.60,0.00,NA,NA,NA,NA
2005-10-01,11.70,24.40,0.00,NA,NA,NA,NA
2005-10-02,13.30,27.20,0.00,NA,NA,NA,NA
2005-10-03,19.40,28.30,1.30,NA,NA,NA,NA
2005-10-04,20.00,29.40,0.00,NA,NA,NA,NA
2005-10-05,19.40,28.90,0.00,NA,NA,NA,NA
2005-10-06,11.10,23.90,0.00,NA,NA,NA,NA
2005-10-07,9.40,12.20,0.00,NA,NA,NA,NA
2005-10-08,8.90,11.70,0.00,NA,NA,NA,NA
2005-10-09,10.60,13.30,0.00,NA,NA,NA,NA
2005-10-10,6.70,13.90,0.00,NA,NA,NA,NA
2005-10-11,12.80,16.10,0.00,NA,NA,NA,NA
2005-10-12,14.40,15.60,0.00,NA,NA,NA,NA
2005-10-13,13.30,17.20,0.00,NA,NA,NA,NA
2005-10-14,12.80,20.00,0.00,NA,NA,NA,NA
2005-10-15,12.20,16.10,0.50,NA,NA,NA,NA
2005-10-16,10.00,14.40,0.00,NA,NA,NA,NA
2005-10-17,8.30,13.90,5.30,NA,NA,NA,NA
2005-10-18,9.40,15.00,0.00,NA,NA,NA,NA
2005-10-19,7.80,16.10,0.00,NA,NA,NA,NA
2005-10-20,3.30,12.80,0.00,NA,NA,NA,NA
2005-10-21,8.90,11.70,0.00,NA,NA,NA,NA
2005-10-22,8.90,10.00,0.00,NA,NA,NA,NA
2005-10-23,6.70,9.40,10.70,NA,NA,NA,NA
2005-10-24,7.80,10.00,8.40,NA,NA,NA,NA
2005-10-25,7.20,9.40,0.30,NA,NA,NA,NA
2005-10-26,4.40,7.80,4.60,NA,NA,NA,NA
2005-10-27,4.40,9.40,3.30,NA,NA,NA,NA
2005-10-28,1.10,10.60,0.50,NA,NA,NA,NA
2005-10-29,2.20,13.30,0.00,NA,NA,NA,NA
2005-10-30,6.10,16.70,0.00,NA,NA,NA,NA
2005-10-31,9.40,13.90,7.40,NA,NA,NA,NA
2005-11-01,3.30,11.70,7.90,NA,NA,NA,NA
2005-11-02,2.20,12.80,0.00,NA,NA,NA,NA
2005-11-03,10.00,19.40,0.00,NA,NA,NA,NA
2005-11-04,8.30,20.00,0.00,NA,NA,NA,NA
2005-11-05,6.70,10.60,35.30,NA,NA,NA,NA
2005-11-06,6.70,17.20,7.40,NA,NA,NA,NA
2005-11-07,3.30,12.20,0.00,NA,NA,NA,NA
2005-11-08,3.90,10.00,0.00,NA,NA,NA,NA
2005-11-09,5.00,15.60,1.80,NA,NA,NA,NA
2005-11-10,3.30,5.60,0.00,NA,NA,NA,NA
2005-11-11,0.00,11.70,0.00,NA,NA,NA,NA
2005-11-12,5.60,16.70,0.00,NA,NA,NA,NA
2005-11-13,6.10,16.10,0.80,NA,NA,NA,NA
2005-11-14,3.90,7.20,1.30,NA,NA,NA,NA
2005-11-15,5.60,15.60,15.00,NA,NA,NA,NA
2005-11-16,-0.60,16.70,1.50,NA,NA,NA,NA
2005-11-17,-3.30,0.60,0.80,NA,NA,NA,NA
2005-11-18,-5.60,0.00,1.30,NA,NA,NA,NA
2005-11-19,0.00,10.60,0.00,NA,NA,NA,NA
2005-11-20,3.30,7.20,0.00,NA,NA,NA,NA
2005-11-21,3.90,5.60,1.30,NA,NA,NA,NA
2005-11-22,-3.90,4.40,4.80,NA,NA,NA,NA
2005-11-23,-6.70,0.60,2.00,NA,NA,NA,NA
2005-11-24,-9.40,1.10,0.50,NA,NA,NA,NA
2005-11-25,-5.60,-2.20,0.00,NA,NA,NA,NA
2005-11-26,-7.20,-1.10,0.00,NA,NA,NA,NA
2005-11-27,-1.70,7.20,3.00,NA,NA,NA,NA
2005-11-28,5.60,13.90,10.20,NA,NA,NA,NA
2005-11-29,1.10,13.30,2.80,NA,NA,NA,NA
2005-11-30,-1.10,1.10,0.50,NA,NA,NA,NA
2005-12-01,-2.20,0.00,2.80,NA,NA,NA,NA
2005-12-02,-4.40,0.60,6.10,NA,NA,NA,NA
2005-12-03,-5.60,-1.70,0.00,NA,NA,NA,NA
2005-12-04,-6.10,-1.70,0.50,NA,NA,NA,NA
2005-12-05,-7.80,-5.60,0.00,NA,NA,NA,NA
2005-12-06,-9.40,-6.70,0.30,NA,NA,NA,NA
2005-12-07,-9.40,-3.90,2.50,NA,NA,NA,NA
2005-12-08,-12.80,-2.80,0.80,NA,NA,NA,NA
2005-12-09,-4.40,-1.10,4.60,NA,NA,NA,NA
2005-12-10,-6.70,-1.10,0.30,NA,NA,NA,NA
2005-12-11,-5.60,-0.60,1.00,NA,NA,NA,NA
2005-12-12,-8.90,-4.40,2.80,NA,NA,NA,NA
2005-12-13,-12.20,-4.40,0.00,NA,NA,NA,NA
2005-12-14,-5.00,-2.20,0.00,NA,NA,NA,NA
2005-12-15,-2.80,0.60,6.10,NA,NA,NA,NA
2005-12-16,-3.90,0.00,0.00,NA,NA,NA,NA
2005-12-17,-4.40,-2.20,0.00,NA,NA,NA,NA
2005-12-18,-9.40,-3.90,0.00,NA,NA,NA,NA
2005-12-19,-11.70,-6.10,0.00,NA,NA,NA,NA
2005-12-20,-7.80,-1.70,0.00,NA,NA,NA,NA
2005-12-21,-6.70,-1.70,0.30,NA,NA,NA,NA
2005-12-22,-4.40,3.30,0.00,NA,NA,NA,NA
2005-12-23,0.60,3.30,3.30,NA,NA,NA,NA
2005-12-24,0.60,3.30,7.90,NA,NA,NA,NA
2005-12-25,1.10,2.80,8.40,NA,NA,NA,NA
2005-12-26,-3.30,2.20,0.30,NA,NA,NA,NA
2005-12-27,-1.10,1.10,0.00,NA,NA,NA,NA
2005-12-28,0.60,2.20,7.90,NA,NA,NA,NA
2005-12-29,0.00,2.20,1.00,NA,NA,NA,NA
2005-12-30,-1.70,0.00,0.30,NA,NA,NA,NA
2005-12-31,-0.60,1.10,2.00,NA,NA,NA,NA
