Daily data for a single station.
StationID:  , USW00094899
StationName:, "COPPER HARBOR"
Lat&Long    , 47.467, -87.883
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,16.70,27.80,0.00,NA,NA,NA,NA
2005-08-02,18.30,30.00,0.00,NA,NA,NA,NA
2005-08-03,22.80,30.00,0.00,NA,NA,NA,NA
2005-08-04,16.70,25.00,4.30,NA,NA,NA,NA
2005-08-05,17.20,24.40,0.00,NA,NA,NA,NA
2005-08-06,16.10,28.90,0.00,NA,NA,NA,NA
2005-08-07,19.40,25.60,0.00,NA,NA,NA,NA
2005-08-08,19.40,33.30,0.30,NA,NA,NA,NA
2005-08-09,18.30,25.00,6.10,NA,NA,NA,NA
2005-08-10,16.10,22.20,0.00,NA,NA,NA,NA
2005-08-11,12.80,23.90,0.00,NA,NA,NA,NA
2005-08-12,17.80,23.30,2.80,NA,NA,NA,NA
2005-08-13,13.90,20.00,0.00,NA,NA,NA,NA
2005-08-14,13.90,20.00,0.00,NA,NA,NA,NA
2005-08-15,14.40,26.10,0.00,NA,NA,NA,NA
2005-08-16,11.70,22.80,1.30,NA,NA,NA,NA
2005-08-17,11.10,21.10,1.80,NA,NA,NA,NA
2005-08-18,15.60,23.30,8.10,NA,NA,NA,NA
2005-08-19,18.30,23.90,0.00,NA,NA,NA,NA
2005-08-20,17.20,24.40,0.30,NA,NA,NA,NA
2005-08-21,14.40,18.30,0.00,NA,NA,NA,NA
2005-08-22,11.70,17.20,0.00,NA,NA,NA,NA
2005-08-23,10.00,20.00,0.00,NA,NA,NA,NA
2005-08-24,11.70,21.70,0.00,NA,NA,NA,NA
2005-08-25,15.00,24.40,0.00,NA,NA,NA,NA
2005-08-26,18.30,24.40,0.50,NA,NA,NA,NA
2005-08-27,16.10,23.30,0.00,NA,NA,NA,NA
2005-08-28,15.60,21.10,0.00,NA,NA,NA,NA
2005-08-29,15.60,18.30,0.00,NA,NA,NA,NA
2005-08-30,15.00,18.90,0.00,NA,NA,NA,NA
2005-08-31,13.90,19.40,0.00,NA,NA,NA,NA
2005-09-01,15.60,22.80,0.30,NA,NA,NA,NA
2005-09-02,15.60,20.60,0.00,NA,NA,NA,NA
2005-09-03,9.40,17.80,0.00,NA,NA,NA,NA
2005-09-04,8.90,21.70,0.00,NA,NA,NA,NA
2005-09-05,17.20,27.80,0.00,NA,NA,NA,NA
2005-09-06,20.60,27.20,0.30,NA,NA,NA,NA
2005-09-07,13.90,21.10,0.00,NA,NA,NA,NA
2005-09-08,12.80,18.90,0.00,NA,NA,NA,NA
2005-09-09,12.80,22.20,0.00,NA,NA,NA,NA
2005-09-10,17.80,25.60,51.60,NA,NA,NA,NA
2005-09-11,20.60,30.60,0.00,NA,NA,NA,NA
2005-09-12,18.90,28.90,18.00,NA,NA,NA,NA
2005-09-13,16.70,21.10,5.60,NA,NA,NA,NA
2005-09-14,11.10,17.20,0.00,NA,NA,NA,NA
2005-09-15,8.90,19.40,0.00,NA,NA,NA,NA
2005-09-16,13.90,21.10,0.00,NA,NA,NA,NA
2005-09-17,15.00,23.90,0.00,NA,NA,NA,NA
2005-09-18,14.40,21.10,0.00,NA,NA,NA,NA
2005-09-19,12.20,17.20,17.50,NA,NA,NA,NA
2005-09-20,12.20,23.90,0.00,NA,NA,NA,NA
2005-09-21,11.10,22.20,0.00,NA,NA,NA,NA
2005-09-22,13.90,17.80,0.00,NA,NA,NA,NA
2005-09-23,8.30,14.40,0.00,NA,NA,NA,NA
2005-09-24,11.10,18.30,0.50,NA,NA,NA,NA
2005-09-25,13.90,15.00,0.00,NA,NA,NA,NA
2005-09-26,11.10,17.20,2.30,NA,NA,NA,NA
2005-09-27,14.40,21.70,0.00,NA,NA,NA,NA
2005-09-28,10.00,17.80,3.80,NA,NA,NA,NA
2005-09-29,7.20,13.30,0.00,NA,NA,NA,NA
2005-09-30,10.00,17.80,0.00,NA,NA,NA,NA
2005-10-01,15.60,21.10,0.00,NA,NA,NA,NA
2005-10-02,16.70,24.40,0.00,NA,NA,NA,NA
2005-10-03,17.80,25.00,0.00,NA,NA,NA,NA
2005-10-04,11.70,21.70,23.40,NA,NA,NA,NA
2005-10-05,8.90,12.20,47.80,NA,NA,NA,NA
2005-10-06,3.90,10.00,0.80,NA,NA,NA,NA
2005-10-07,2.80,5.60,0.30,NA,NA,NA,NA
2005-10-08,2.20,8.30,0.00,NA,NA,NA,NA
2005-10-09,1.70,11.10,0.00,NA,NA,NA,NA
2005-10-10,2.80,10.60,0.00,NA,NA,NA,NA
2005-10-11,3.90,15.00,0.00,NA,NA,NA,NA
2005-10-12,12.20,14.40,3.00,NA,NA,NA,NA
2005-10-13,10.00,15.60,3.30,NA,NA,NA,NA
2005-10-14,9.40,16.10,0.30,NA,NA,NA,NA
2005-10-15,8.90,12.20,0.00,NA,NA,NA,NA
2005-10-16,3.30,8.90,0.00,NA,NA,NA,NA
2005-10-17,8.30,13.30,8.40,NA,NA,NA,NA
2005-10-18,3.90,10.00,14.50,NA,NA,NA,NA
2005-10-19,3.90,8.90,2.30,NA,NA,NA,NA
2005-10-20,-0.60,7.80,0.30,NA,NA,NA,NA
2005-10-21,-0.60,8.90,1.30,NA,NA,NA,NA
2005-10-22,6.70,8.30,2.30,NA,NA,NA,NA
2005-10-23,5.00,8.30,1.30,NA,NA,NA,NA
2005-10-24,5.60,7.20,0.30,NA,NA,NA,NA
2005-10-25,5.00,6.70,0.00,NA,NA,NA,NA
2005-10-26,5.00,6.70,0.00,NA,NA,NA,NA
2005-10-27,1.70,7.20,0.00,NA,NA,NA,NA
2005-10-28,1.10,12.80,0.00,NA,NA,NA,NA
2005-10-29,6.10,15.60,0.00,NA,NA,NA,NA
2005-10-30,10.00,15.00,3.60,NA,NA,NA,NA
2005-10-31,7.20,11.10,1.00,NA,NA,NA,NA
2005-11-01,1.70,7.20,0.00,NA,NA,NA,NA
2005-11-02,3.90,11.70,0.00,NA,NA,NA,NA
2005-11-03,5.00,12.80,0.00,NA,NA,NA,NA
2005-11-04,3.90,5.60,2.80,NA,NA,NA,NA
2005-11-05,2.80,5.60,0.30,NA,NA,NA,NA
2005-11-06,2.20,5.60,0.30,NA,NA,NA,NA
2005-11-07,2.80,10.60,0.00,NA,NA,NA,NA
2005-11-08,1.10,7.80,1.50,NA,NA,NA,NA
2005-11-09,2.20,8.30,3.60,NA,NA,NA,NA
2005-11-10,-1.70,3.30,0.00,NA,NA,NA,NA
2005-11-11,-1.10,9.40,0.00,NA,NA,NA,NA
2005-11-12,6.10,13.90,1.00,NA,NA,NA,NA
2005-11-13,1.70,11.10,5.10,NA,NA,NA,NA
2005-11-14,0.60,3.30,0.00,NA,NA,NA,NA
2005-11-15,0.60,4.40,3.80,NA,NA,NA,NA
2005-11-16,-5.60,1.10,0.00,NA,NA,NA,NA
2005-11-17,-8.90,-5.60,0.30,NA,NA,NA,NA
2005-11-18,-9.40,0.00,0.80,NA,NA,NA,NA
2005-11-19,0.00,4.40,5.60,NA,NA,NA,NA
2005-11-20,0.60,3.90,0.00,NA,NA,NA,NA
2005-11-21,-3.90,5.60,0.00,NA,NA,NA,NA
2005-11-22,-6.10,-3.90,0.00,NA,NA,NA,NA
2005-11-23,-11.70,2.80,4.30,NA,NA,NA,NA
2005-11-24,-12.80,-3.30,0.00,NA,NA,NA,NA
2005-11-25,-6.70,-4.40,0.30,NA,NA,NA,NA
2005-11-26,-13.30,0.60,0.00,NA,NA,NA,NA
2005-11-27,0.60,5.00,5.10,NA,NA,NA,NA
2005-11-28,4.40,8.30,7.40,NA,NA,NA,NA
2005-11-29,-4.40,8.30,0.80,NA,NA,NA,NA
2005-11-30,-6.70,-3.90,0.00,NA,NA,NA,NA
2005-12-01,-6.10,-1.70,1.00,NA,NA,NA,NA
2005-12-02,-7.20,-3.30,0.00,NA,NA,NA,NA
2005-12-03,-7.80,-6.10,0.00,NA,NA,NA,NA
2005-12-04,-9.40,-6.10,1.00,NA,NA,NA,NA
2005-12-05,-13.30,-8.30,6.60,NA,NA,NA,NA
2005-12-06,-12.20,-3.90,6.10,NA,NA,NA,NA
2005-12-07,-5.60,-3.30,1.00,NA,NA,NA,NA
2005-12-08,-9.40,-5.60,1.00,NA,NA,NA,NA
2005-12-09,-6.10,-2.20,0.50,NA,NA,NA,NA
2005-12-10,-5.00,0.60,1.30,NA,NA,NA,NA
2005-12-11,-9.40,-5.00,0.30,NA,NA,NA,NA
2005-12-12,-10.60,-3.90,1.80,NA,NA,NA,NA
2005-12-13,-8.90,-2.20,0.00,NA,NA,NA,NA
2005-12-14,-2.20,0.60,7.10,NA,NA,NA,NA
2005-12-15,-1.70,1.10,11.90,NA,NA,NA,NA
2005-12-16,-4.40,0.00,9.90,NA,NA,NA,NA
2005-12-17,-7.80,-3.90,3.60,NA,NA,NA,NA
2005-12-18,-8.30,-5.00,0.80,NA,NA,NA,NA
2005-12-19,-7.20,-0.60,0.00,NA,NA,NA,NA
2005-12-20,-8.90,-3.30,0.00,NA,NA,NA,NA
2005-12-21,-6.10,-3.30,0.80,NA,NA,NA,NA
2005-12-22,-6.70,2.20,0.00,NA,NA,NA,NA
2005-12-23,0.00,1.70,0.50,NA,NA,NA,NA
2005-12-24,-0.60,2.20,0.30,NA,NA,NA,NA
2005-12-25,-1.70,2.20,0.00,NA,NA,NA,NA
2005-12-26,-1.10,1.10,0.00,NA,NA,NA,NA
2005-12-27,-1.70,1.10,0.00,NA,NA,NA,NA
2005-12-28,-2.20,2.80,0.30,NA,NA,NA,NA
2005-12-29,-4.40,-1.70,0.00,NA,NA,NA,NA
2005-12-30,-3.90,-1.70,12.70,NA,NA,NA,NA
2005-12-31,-1.70,0.00,4.60,NA,NA,NA,NA
