Daily data for a single station.
StationID:  , USW00094929
StationName:, "ASHLAND KENNEDY MEM AP"
Lat&Long    , 46.549, -90.919
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,NA,NA,0.00,NA,NA,NA,NA
2005-08-02,21.70,32.20,0.00,NA,NA,NA,NA
2005-08-03,20.60,28.30,0.00,NA,NA,NA,NA
2005-08-04,14.40,25.60,0.50,NA,NA,NA,NA
2005-08-05,11.70,26.70,0.00,NA,NA,NA,NA
2005-08-06,10.00,28.30,0.30,NA,NA,NA,NA
2005-08-07,16.10,31.10,0.00,NA,NA,NA,NA
2005-08-08,21.10,33.30,0.30,NA,NA,NA,NA
2005-08-09,17.80,23.90,28.40,NA,NA,NA,NA
2005-08-10,12.20,25.60,0.00,NA,NA,NA,NA
2005-08-11,11.70,23.30,0.30,NA,NA,NA,NA
2005-08-12,12.20,24.40,0.00,NA,NA,NA,NA
2005-08-13,10.00,22.80,0.00,NA,NA,NA,NA
2005-08-14,8.30,22.80,0.00,NA,NA,NA,NA
2005-08-15,7.20,25.60,0.30,NA,NA,NA,NA
2005-08-16,12.80,25.00,0.00,NA,NA,NA,NA
2005-08-17,11.10,21.70,11.90,NA,NA,NA,NA
2005-08-18,12.20,21.70,12.40,NA,NA,NA,NA
2005-08-19,16.70,25.00,2.50,NA,NA,NA,NA
2005-08-20,11.10,23.90,0.30,NA,NA,NA,NA
2005-08-21,10.60,18.30,0.00,NA,NA,NA,NA
2005-08-22,5.00,19.40,0.00,NA,NA,NA,NA
2005-08-23,3.30,21.10,0.00,NA,NA,NA,NA
2005-08-24,7.20,22.20,0.00,NA,NA,NA,NA
2005-08-25,12.20,26.70,0.00,NA,NA,NA,NA
2005-08-26,16.10,21.70,3.30,NA,NA,NA,NA
2005-08-27,12.20,25.00,0.30,NA,NA,NA,NA
2005-08-28,12.20,22.20,0.00,NA,NA,NA,NA
2005-08-29,12.20,20.00,0.00,NA,NA,NA,NA
2005-08-30,8.90,20.60,0.00,NA,NA,NA,NA
2005-08-31,10.00,24.40,0.80,NA,NA,NA,NA
2005-09-01,11.70,23.30,0.30,NA,NA,NA,NA
2005-09-02,10.60,21.70,0.00,NA,NA,NA,NA
2005-09-03,5.60,20.60,0.00,NA,NA,NA,NA
2005-09-04,6.10,25.60,0.00,NA,NA,NA,NA
2005-09-05,17.20,30.60,0.00,NA,NA,NA,NA
2005-09-06,12.20,27.80,0.30,NA,NA,NA,NA
2005-09-07,7.20,21.10,0.00,NA,NA,NA,NA
2005-09-08,5.60,24.40,0.00,NA,NA,NA,NA
2005-09-09,7.80,26.10,1.50,NA,NA,NA,NA
2005-09-10,20.60,32.20,0.00,NA,NA,NA,NA
2005-09-11,22.80,33.30,0.00,NA,NA,NA,NA
2005-09-12,17.80,24.40,4.60,NA,NA,NA,NA
2005-09-13,11.10,21.10,31.50,NA,NA,NA,NA
2005-09-14,5.60,20.00,0.30,NA,NA,NA,NA
2005-09-15,3.90,23.90,0.00,NA,NA,NA,NA
2005-09-16,8.90,26.10,0.00,NA,NA,NA,NA
2005-09-17,7.80,22.80,0.00,NA,NA,NA,NA
2005-09-18,11.10,25.00,0.00,NA,NA,NA,NA
2005-09-19,10.00,19.40,20.30,NA,NA,NA,NA
2005-09-20,8.30,26.10,0.00,NA,NA,NA,NA
2005-09-21,7.80,26.10,0.30,NA,NA,NA,NA
2005-09-22,5.00,18.30,0.00,NA,NA,NA,NA
2005-09-23,1.70,16.70,0.00,NA,NA,NA,NA
2005-09-24,5.00,16.10,0.80,NA,NA,NA,NA
2005-09-25,10.00,14.40,16.80,NA,NA,NA,NA
2005-09-26,5.60,18.30,0.00,NA,NA,NA,NA
2005-09-27,5.60,22.80,0.00,NA,NA,NA,NA
2005-09-28,3.30,17.80,2.80,NA,NA,NA,NA
2005-09-29,1.70,15.00,0.00,NA,NA,NA,NA
2005-09-30,9.40,22.80,0.00,NA,NA,NA,NA
2005-10-01,10.60,27.80,0.00,NA,NA,NA,NA
2005-10-02,14.40,27.20,0.00,NA,NA,NA,NA
2005-10-03,19.40,26.10,1.50,NA,NA,NA,NA
2005-10-04,9.40,20.00,121.40,NA,NA,NA,NA
2005-10-05,7.20,11.10,40.40,NA,NA,NA,NA
2005-10-06,1.70,9.40,0.00,NA,NA,NA,NA
2005-10-07,-0.60,7.20,1.30,NA,NA,NA,NA
2005-10-08,-2.80,10.60,0.00,NA,NA,NA,NA
2005-10-09,-1.70,12.80,0.00,NA,NA,NA,NA
2005-10-10,0.60,13.30,0.00,NA,NA,NA,NA
2005-10-11,3.90,13.90,0.30,NA,NA,NA,NA
2005-10-12,4.40,15.00,0.00,NA,NA,NA,NA
2005-10-13,8.30,16.10,2.00,NA,NA,NA,NA
2005-10-14,7.20,20.00,0.00,NA,NA,NA,NA
2005-10-15,1.70,14.40,0.00,NA,NA,NA,NA
2005-10-16,-1.10,13.90,0.00,NA,NA,NA,NA
2005-10-17,5.60,17.20,6.10,NA,NA,NA,NA
2005-10-18,0.60,12.20,0.30,NA,NA,NA,NA
2005-10-19,0.00,12.80,0.00,NA,NA,NA,NA
2005-10-20,-2.20,9.40,0.00,NA,NA,NA,NA
2005-10-21,-3.30,7.80,1.80,NA,NA,NA,NA
2005-10-22,0.60,10.00,4.10,NA,NA,NA,NA
2005-10-23,3.30,6.70,6.90,NA,NA,NA,NA
2005-10-24,3.90,7.80,0.00,NA,NA,NA,NA
2005-10-25,2.20,7.20,0.00,NA,NA,NA,NA
2005-10-26,-1.70,9.40,0.00,NA,NA,NA,NA
2005-10-27,-4.40,12.80,0.00,NA,NA,NA,NA
2005-10-28,-2.80,15.60,0.00,NA,NA,NA,NA
2005-10-29,1.70,18.30,0.00,NA,NA,NA,NA
2005-10-30,8.30,15.60,7.90,NA,NA,NA,NA
2005-10-31,5.00,10.00,0.00,NA,NA,NA,NA
2005-11-01,0.60,10.60,0.00,NA,NA,NA,NA
2005-11-02,0.60,13.90,0.00,NA,NA,NA,NA
2005-11-03,4.40,11.10,0.00,NA,NA,NA,NA
2005-11-04,3.90,7.20,1.00,NA,NA,NA,NA
2005-11-05,2.80,7.20,0.00,NA,NA,NA,NA
2005-11-06,1.10,8.90,0.50,NA,NA,NA,NA
2005-11-07,1.70,13.90,0.00,NA,NA,NA,NA
2005-11-08,-2.20,11.10,0.00,NA,NA,NA,NA
2005-11-09,-0.60,11.70,0.30,NA,NA,NA,NA
2005-11-10,-3.30,9.40,0.00,NA,NA,NA,NA
2005-11-11,-4.40,16.70,0.00,NA,NA,NA,NA
2005-11-12,0.60,12.20,2.80,NA,NA,NA,NA
2005-11-13,-2.80,12.80,4.80,NA,NA,NA,NA
2005-11-14,-6.10,3.90,0.00,NA,NA,NA,NA
2005-11-15,-1.70,4.40,6.40,NA,NA,NA,NA
2005-11-16,-10.00,1.70,3.80,NA,NA,NA,NA
2005-11-17,-12.80,-8.30,0.30,NA,NA,NA,NA
2005-11-18,-8.90,2.20,0.00,NA,NA,NA,NA
