Daily data for a single station.
StationID:  , USW00094973
StationName:, "HAYWARD MUNI AP"
Lat&Long    , 46.026, -91.444
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,20.00,33.30,0.00,NA,NA,NA,NA
2005-08-02,18.90,35.00,0.00,NA,NA,NA,NA
2005-08-03,21.70,32.80,0.00,NA,NA,NA,NA
2005-08-04,12.20,28.90,0.30,NA,NA,NA,NA
2005-08-05,8.30,30.60,0.00,NA,NA,NA,NA
2005-08-06,8.30,30.60,0.00,NA,NA,NA,NA
2005-08-07,12.20,33.30,0.00,NA,NA,NA,NA
2005-08-08,23.30,37.80,0.00,NA,NA,NA,NA
2005-08-09,17.20,26.10,5.80,NA,NA,NA,NA
2005-08-10,15.60,28.30,0.30,NA,NA,NA,NA
2005-08-11,13.90,22.80,0.00,NA,NA,NA,NA
2005-08-12,11.70,27.80,0.00,NA,NA,NA,NA
2005-08-13,7.20,25.00,0.00,NA,NA,NA,NA
2005-08-14,5.00,26.10,0.00,NA,NA,NA,NA
2005-08-15,5.00,28.30,0.00,NA,NA,NA,NA
2005-08-16,10.00,30.00,0.00,NA,NA,NA,NA
2005-08-17,16.10,29.40,0.00,NA,NA,NA,NA
2005-08-18,18.90,26.10,0.00,NA,NA,NA,NA
2005-08-19,19.40,28.30,0.30,NA,NA,NA,NA
2005-08-20,10.00,28.30,0.30,NA,NA,NA,NA
2005-08-21,8.90,22.80,0.00,NA,NA,NA,NA
2005-08-22,2.80,24.40,0.00,NA,NA,NA,NA
2005-08-23,2.20,27.20,0.00,NA,NA,NA,NA
2005-08-24,8.30,24.40,0.00,NA,NA,NA,NA
2005-08-25,18.30,28.90,0.00,NA,NA,NA,NA
2005-08-26,11.10,23.90,5.60,NA,NA,NA,NA
2005-08-27,7.80,27.80,0.00,NA,NA,NA,NA
2005-08-28,11.70,25.00,0.00,NA,NA,NA,NA
2005-08-29,8.90,25.00,0.00,NA,NA,NA,NA
2005-08-30,8.90,25.00,0.00,NA,NA,NA,NA
2005-08-31,13.30,27.20,1.00,NA,NA,NA,NA
2005-09-01,9.40,26.10,0.30,NA,NA,NA,NA
2005-09-02,7.20,25.60,0.00,NA,NA,NA,NA
2005-09-03,3.30,25.00,1.50,NA,NA,NA,NA
2005-09-04,10.60,28.30,0.30,NA,NA,NA,NA
2005-09-05,18.90,32.80,0.00,NA,NA,NA,NA
2005-09-06,17.20,30.00,3.60,NA,NA,NA,NA
2005-09-07,6.70,23.30,0.00,NA,NA,NA,NA
2005-09-08,5.00,25.60,0.00,NA,NA,NA,NA
2005-09-09,14.40,28.90,0.00,NA,NA,NA,NA
2005-09-10,20.60,33.30,0.00,NA,NA,NA,NA
2005-09-11,25.00,34.40,0.00,NA,NA,NA,NA
2005-09-12,20.60,27.20,20.60,NA,NA,NA,NA
2005-09-13,NA,NA,NA,NA,NA,NA,NA
2005-09-14,5.00,21.70,0.00,NA,NA,NA,NA
2005-09-15,3.90,25.60,0.00,NA,NA,NA,NA
2005-09-16,8.90,26.70,0.00,NA,NA,NA,NA
2005-09-17,10.00,24.40,0.00,NA,NA,NA,NA
2005-09-18,10.00,27.20,NA,NA,NA,NA,NA
2005-09-19,8.90,22.20,15.20,NA,NA,NA,NA
2005-09-20,6.70,28.30,0.00,NA,NA,NA,NA
2005-09-21,7.20,28.90,0.00,NA,NA,NA,NA
2005-09-22,2.20,20.00,0.00,NA,NA,NA,NA
2005-09-23,0.00,21.10,0.00,NA,NA,NA,NA
2005-09-24,10.00,16.70,1.80,NA,NA,NA,NA
2005-09-25,11.10,16.70,23.40,NA,NA,NA,NA
2005-09-26,5.60,20.00,0.00,NA,NA,NA,NA
2005-09-27,2.80,23.90,0.00,NA,NA,NA,NA
2005-09-28,2.20,20.00,5.80,NA,NA,NA,NA
2005-09-29,-1.10,15.60,0.00,NA,NA,NA,NA
2005-09-30,11.10,23.30,0.00,NA,NA,NA,NA
2005-10-01,10.00,28.90,0.00,NA,NA,NA,NA
2005-10-02,17.80,27.20,0.00,NA,NA,NA,NA
2005-10-03,22.80,26.70,0.00,NA,NA,NA,NA
2005-10-04,12.20,26.10,120.90,NA,NA,NA,NA
2005-10-05,8.30,21.70,21.60,NA,NA,NA,NA
2005-10-06,2.20,9.40,0.30,NA,NA,NA,NA
2005-10-07,-0.60,9.40,0.00,NA,NA,NA,NA
2005-10-08,-1.70,13.30,0.00,NA,NA,NA,NA
2005-10-09,-1.70,16.70,0.00,NA,NA,NA,NA
2005-10-10,-1.70,20.00,0.00,NA,NA,NA,NA
2005-10-11,-0.60,20.00,0.00,NA,NA,NA,NA
2005-10-12,9.40,15.60,0.00,NA,NA,NA,NA
2005-10-13,4.40,16.10,2.50,NA,NA,NA,NA
2005-10-14,4.40,21.70,0.00,NA,NA,NA,NA
2005-10-15,0.00,16.70,0.00,NA,NA,NA,NA
2005-10-16,-2.80,17.20,0.00,NA,NA,NA,NA
2005-10-17,2.80,18.30,12.70,NA,NA,NA,NA
2005-10-18,-0.60,20.00,0.00,NA,NA,NA,NA
2005-10-19,-0.60,13.30,0.00,NA,NA,NA,NA
2005-10-20,-2.20,10.60,0.00,NA,NA,NA,NA
2005-10-21,-2.20,10.60,0.50,NA,NA,NA,NA
2005-10-22,-1.10,8.90,0.50,NA,NA,NA,NA
2005-10-23,3.90,7.80,1.00,NA,NA,NA,NA
2005-10-24,-0.60,8.90,0.30,NA,NA,NA,NA
2005-10-25,2.80,11.10,0.00,NA,NA,NA,NA
