Daily data for a single station.
StationID:  , USW00094992
StationName:, "GRAND MARAIS"
Lat&Long    , 47.747, -90.344
Elevation:  , -9999.000
Starts(YMD):,2005-08-01
Ends(YMD):  ,2005-12-31
Date  ,AirTempMin, AirTempMax, Precipitation, AirTemp, Dewpoint, WindSpeed, CloudCover
YYYY-MM-DD, Celsius, Celsius, Millimeter, Celsius, Celsius, MetersPerSecond, Percent
2005-08-01,16.10,23.90,0.00,NA,NA,NA,NA
2005-08-02,17.20,23.90,0.30,NA,NA,NA,NA
2005-08-03,18.90,22.20,0.00,NA,NA,NA,NA
2005-08-04,11.70,27.80,1.50,NA,NA,NA,NA
2005-08-05,10.60,20.00,0.00,NA,NA,NA,NA
2005-08-06,10.60,20.60,0.00,NA,NA,NA,NA
2005-08-07,9.40,20.60,0.00,NA,NA,NA,NA
2005-08-08,15.60,24.40,0.00,NA,NA,NA,NA
2005-08-09,12.80,23.90,5.10,NA,NA,NA,NA
2005-08-10,12.80,23.30,0.00,NA,NA,NA,NA
2005-08-11,10.60,21.70,0.00,NA,NA,NA,NA
2005-08-12,10.00,23.90,2.80,NA,NA,NA,NA
2005-08-13,8.90,18.30,0.00,NA,NA,NA,NA
2005-08-14,8.30,18.90,0.00,NA,NA,NA,NA
2005-08-15,7.80,15.60,0.00,NA,NA,NA,NA
2005-08-16,8.30,17.20,2.80,NA,NA,NA,NA
2005-08-17,13.30,18.30,7.10,NA,NA,NA,NA
2005-08-18,13.90,20.00,3.80,NA,NA,NA,NA
2005-08-19,12.80,17.80,0.00,NA,NA,NA,NA
2005-08-20,10.60,24.40,0.00,NA,NA,NA,NA
2005-08-21,11.10,20.00,0.00,NA,NA,NA,NA
2005-08-22,8.30,18.30,0.50,NA,NA,NA,NA
2005-08-23,7.20,18.30,0.00,NA,NA,NA,NA
2005-08-24,12.80,17.80,0.00,NA,NA,NA,NA
2005-08-25,13.30,20.60,0.00,NA,NA,NA,NA
2005-08-26,15.00,18.30,23.60,NA,NA,NA,NA
2005-08-27,12.20,21.10,0.00,NA,NA,NA,NA
2005-08-28,13.30,21.10,1.80,NA,NA,NA,NA
2005-08-29,11.70,19.40,0.00,NA,NA,NA,NA
2005-08-30,13.30,18.90,0.00,NA,NA,NA,NA
2005-08-31,12.20,19.40,0.50,NA,NA,NA,NA
2005-09-01,11.10,18.90,0.00,NA,NA,NA,NA
2005-09-02,9.40,22.80,0.00,NA,NA,NA,NA
2005-09-03,8.90,17.80,0.00,NA,NA,NA,NA
2005-09-04,9.40,19.40,0.00,NA,NA,NA,NA
2005-09-05,13.30,20.60,0.00,NA,NA,NA,NA
2005-09-06,13.30,21.10,2.30,NA,NA,NA,NA
2005-09-07,8.90,17.20,0.00,NA,NA,NA,NA
2005-09-08,7.80,20.00,0.00,NA,NA,NA,NA
2005-09-09,10.60,18.90,0.00,NA,NA,NA,NA
2005-09-10,13.90,23.90,0.00,NA,NA,NA,NA
2005-09-11,15.60,23.90,0.00,NA,NA,NA,NA
2005-09-12,14.40,21.70,13.00,NA,NA,NA,NA
2005-09-13,12.80,19.40,12.70,NA,NA,NA,NA
2005-09-14,7.80,19.40,0.00,NA,NA,NA,NA
2005-09-15,7.20,18.30,0.00,NA,NA,NA,NA
2005-09-16,9.40,16.70,0.00,NA,NA,NA,NA
2005-09-17,10.00,18.90,0.00,NA,NA,NA,NA
2005-09-18,13.90,21.10,0.00,NA,NA,NA,NA
2005-09-19,11.10,17.20,30.50,NA,NA,NA,NA
2005-09-20,8.90,22.80,0.00,NA,NA,NA,NA
2005-09-21,10.60,19.40,0.00,NA,NA,NA,NA
2005-09-22,5.00,19.40,0.00,NA,NA,NA,NA
2005-09-23,3.30,15.00,0.00,NA,NA,NA,NA
2005-09-24,8.90,15.00,1.50,NA,NA,NA,NA
2005-09-25,10.00,16.10,0.00,NA,NA,NA,NA
2005-09-26,8.30,18.30,0.00,NA,NA,NA,NA
2005-09-27,8.30,17.20,0.00,NA,NA,NA,NA
2005-09-28,3.30,16.70,0.00,NA,NA,NA,NA
2005-09-29,2.20,13.30,0.00,NA,NA,NA,NA
2005-09-30,6.70,15.60,0.00,NA,NA,NA,NA
2005-10-01,10.00,20.00,0.00,NA,NA,NA,NA
2005-10-02,11.70,21.10,0.00,NA,NA,NA,NA
2005-10-03,13.90,20.00,24.60,NA,NA,NA,NA
2005-10-04,9.40,13.90,7.40,NA,NA,NA,NA
2005-10-05,7.20,9.40,14.70,NA,NA,NA,NA
2005-10-06,0.60,11.10,1.80,NA,NA,NA,NA
2005-10-07,0.60,6.70,0.00,NA,NA,NA,NA
2005-10-08,4.40,8.30,0.00,NA,NA,NA,NA
2005-10-09,6.10,11.70,0.00,NA,NA,NA,NA
2005-10-10,3.30,12.80,0.00,NA,NA,NA,NA
2005-10-11,3.30,13.30,0.00,NA,NA,NA,NA
2005-10-12,10.00,13.90,0.00,NA,NA,NA,NA
2005-10-13,9.40,12.20,4.10,NA,NA,NA,NA
2005-10-14,7.80,18.90,0.30,NA,NA,NA,NA
2005-10-15,6.10,14.40,0.00,NA,NA,NA,NA
2005-10-16,2.20,10.00,0.00,NA,NA,NA,NA
2005-10-17,2.20,16.70,12.70,NA,NA,NA,NA
2005-10-18,0.60,8.30,17.30,NA,NA,NA,NA
2005-10-19,0.00,12.20,0.00,NA,NA,NA,NA
2005-10-20,-1.10,7.80,0.00,NA,NA,NA,NA
2005-10-21,-1.10,7.80,4.30,NA,NA,NA,NA
2005-10-22,5.00,10.00,0.80,NA,NA,NA,NA
2005-10-23,3.30,9.40,0.00,NA,NA,NA,NA
2005-10-24,3.30,10.60,0.00,NA,NA,NA,NA
2005-10-25,4.40,7.80,0.00,NA,NA,NA,NA
2005-10-26,2.20,8.90,0.00,NA,NA,NA,NA
2005-10-27,1.70,10.60,0.00,NA,NA,NA,NA
2005-10-28,0.60,10.60,0.00,NA,NA,NA,NA
