Master List of stations from stndata files. This is a template for the
GHCND data extraction/processing program.

Column 2 specifies which data can be extracted for each station.
The interpretation of this string of characters is:
  position 1 = TMIN
  position 2 = TMAX
  position 3 = PREC
  position 4 = TAVG
  position 5 = DEWP
  position 6 = WIND
  position 7 = CLDC
e.g. We may want to use everything EXCEPT precipitation, in which case
the string will be YY.YYYY
Y (upper or lower case) means yes (use it) while anything else means no.
A dot is used for no in hopes of making it easier to visualize at a glance.

The station name is also for user convenience and is not used.

The excluded years section for each station is usually blank, but in
some cases the station is one that we want to use except for a specific
period(s) during which it had obvious bad data.
If there are multiple periods they need to be separated by semicolons
Note that if an excluded period is specified it will apply to ALL data types.

station_id,   Latitude,  Longitude, UseData, station_name,              excluded_years
------------, ---------, ---------, -------, -------------------------, --------- 
CA006040081 ,    48.783,   -87.167, YYY...., AGUASABON                , 
CA006041109 ,    49.150,   -88.350, YYY...., CAMERON FALLS            , 
CA006041193 ,    49.267,   -85.833, YYY...., CARAMAT                  , 
CA006041221 ,    47.333,   -85.833, YYY...., CARIBOU ISLAND           , 
CA006042063 ,    48.500,   -89.517, ..Y...., DONA                     , 
CA006042716 ,    49.783,   -86.933, YYY...., GERALDTON A              , 
CA006042723 ,    49.700,   -86.867, ..Y...., GERALDTON FORESTRY       , 1947-1953
CA006042755 ,    49.683,   -86.950, ..Y...., GERALDTON ONT HYDRO      , 
CA006042975 ,    49.267,   -90.583, YYY...., GRAHAM A                 , 
CA006042MJ7 ,    48.350,   -89.683, YYY...., FLINT                    , 
CA006043452 ,    48.700,   -85.883, YYY...., HEMLO BATTLE MOUNTAIN    , 
CA006043930 ,    48.400,   -89.617, YYY...., KAKABEKA FALLS           , 
CA006044525 ,    49.750,   -86.500, YYY...., LONGLAC                  , 
CA006044560 ,    49.767,   -86.533, YYY...., LONGLAC P AND P          , 
CA006044903 ,    49.150,   -85.800, YYY...., MANITOUWADGE             , 
CA006044959 ,    48.717,   -86.400, YYY...., MARATHON                 , 
CA006045550 ,    50.183,   -86.700, YYY...., NAKINA A                 , 
CA006046549 ,    49.300,   -88.317, ..Y...., PINE PORTAGE             , 
CA006046770 ,    48.600,   -86.300, YYY...., PUKASKWA NATL PARK       , 
CA006046811 ,    49.417,   -90.900, YYY...., QUORN                    , 
CA006047627 ,    48.817,   -87.267, YYY...., SCHREIBER                , 
CA006048230 ,    48.800,   -87.100, YYY...., TERRACE BAY              , 
CA006048261 ,    48.367,   -89.333, YYY...., THUNDER BAY A            , 
CA006048864 ,    48.233,   -89.517, YYY...., TRANQUILLO RIDGE         , 
CA006049096 ,    49.050,   -90.467, YYY...., UPSALA                   , 
CA006049466 ,    48.283,   -89.917, YYY...., WHITEFISH LAKE           , 
CA00604HBFA ,    48.400,   -89.233, YYY...., THUNDER BAY WPCP         , 
CA006052259 ,    46.350,   -82.567, YYY...., ELLIOT LAKE A            , 
CA006053570 ,    49.233,   -84.800, YYY...., HORNEPAYNE               , 
CA006055210 ,    46.433,   -83.383, YYY...., MISSISSAGI ONT HYDRO     , 
CA006056907 ,    46.333,   -83.500, ..Y...., RAYNER                   , 
CA006057590 ,    46.533,   -84.333, YYY...., SAULT STE MARIE 2        , 
CA006057592 ,    46.483,   -84.517, YYY...., SAULT STE MARIE A        , 
CA006059475 ,    48.600,   -85.283, YYY...., WHITE RIVER              , 
CA006059D09 ,    47.967,   -84.783, YYY...., WAWA A                   , 
CA006060773 ,    47.300,   -82.100, YYY...., BISCOTASING              , 
CA006061359 ,    47.833,   -83.433, YYY...., CHAPLEAU 2               , 
CA006061361 ,    47.817,   -83.350, YYY...., CHAPLEAU A               , 
CA006061847 ,    46.467,   -80.817, YYY...., CONISTON                 , 
CA006061850 ,    46.483,   -80.850, YYY...., CONISTON STP             , 1962-1964
