yrs WSU CSU ESU WB GrB SMI CMI NCMI NMI NHU EHU CHU SB SMR NCGeB WER CER EER LSC WON EON CON
1973 60.3 NA NA 67.1 NA 75.7 75.4 NA 79.8 NA NA 69.6 NA 67.1 NA 67.9 75.6 75.8 72.1 NA NA NA
1974 61.2 78.8 NA 65.2 77.1 78.7 77.6 NA 79.3 78.6 NA 70.4 77.6 65.2 NA 67.4 78.9 78.3 73.9 NA NA NA
1975 62.2 85.4 NA 72.2 78.5 79.7 78.1 84.6 82.7 82 NA 75.5 80.5 72.2 NA 75.8 82.9 80.8 78.8 NA NA 85
1976 58.7 NA NA 70.9 76 74.1 73.2 NA 82.5 81.3 NA 73 77.8 70.9 NA 66.9 78.5 79.4 72.6 NA NA 85.1
1977 59.8 80.2 81.3 66.3 71.4 70.7 67.1 NA 79.3 78.1 NA 69.6 75.8 66.3 NA 62.3 73.6 75.5 69 NA NA 81.1
1978 61.1 69.6 76.5 69.9 62.8 73 70.1 NA 76 NA 80.1 74.1 75.4 69.9 74.6 69.9 78.1 79 71.1 NA 77.6 83.4
1979 70.3 72.2 81.8 75.8 68.9 77.3 74.7 NA 81.3 NA NA 76.6 78 75.8 NA 74.8 80.9 74.9 75.8 NA NA 79.8
1980 71.6 72.6 76.6 69.6 69.2 77.1 74.7 86.9 79.7 77 81.8 75.2 76.8 69.6 76.2 72.6 81.2 78 74.4 76.9 60.2 79.3
1981 53.2 74.5 82.2 75.2 67.7 70.1 69.6 NA 79.1 78.1 79.3 75.8 76.7 75.2 77.2 69.9 77.3 78.3 71.7 NA 62.4 79.6
1982 57.8 74.6 79.1 63.6 70.2 74.8 71.5 NA 75.4 75.5 81.4 70 75.7 63.6 76.9 71.8 74.8 76.9 71.3 76.9 67.4 77.1
1983 66 78.2 NA 66.2 80.9 80 78.7 NA 83.7 85.1 NA 75.3 78.2 66.2 NA 72 77.1 74.7 72.5 78.8 70.8 78.1
1984 73.1 73.9 78.8 NA 74.3 78.7 77.6 NA 80.1 NA 80.5 77.5 77.3 NA 78.5 77.7 83.1 80.2 78.4 77.5 NA 79.1
1985 NA 72.6 79.5 80.5 NA 77.8 NA NA 82.8 NA 82.4 78.4 NA 80.5 79.5 77.9 82.9 81.7 79 78.1 78.6 79.4
1986 NA 74.8 80.9 80.7 78 79.6 81.3 NA 82.7 78.9 84 80.2 77.8 80.7 81 78.4 82.7 81.2 79.7 77.9 79.3 79.6
1987 NA 71.8 NA 75.3 69 75.5 73.8 NA 75 75.3 NA 72.8 73.4 75.3 73.7 NA NA 75.7 NA 70.7 71.5 72.4
1988 NA 74.9 81 78 NA 74.6 76.6 NA 80.1 77.3 79.8 75 74.4 78 76.6 74.1 79.6 80.4 75 74 75.2 76.2
1989 71.8 73.2 78.4 78.9 72.4 75.5 75.5 NA 80.3 75.4 80.1 75.6 75.5 78.9 76.6 72.7 77.7 79.9 73.9 75.2 76.4 77.2
1990 66.7 72.6 77.5 77.7 NA 71.4 NA NA 76.4 72.3 NA 71.2 74.2 77.7 76.6 72 76.5 70.6 74 74.8 75.5 75.9
1991 NA 71.9 77.1 NA 66.9 74.5 73.1 NA 79.2 76.4 78.8 72.9 77 NA 76.1 72.3 78.5 72.6 74.1 74.5 76.3 76.3
1992 NA 75.1 81.6 NA 76.7 80.2 78.1 83.5 84.4 82.2 80.4 71.8 80.8 NA 78.4 76.6 82.4 75.4 78.4 79.7 79.6 80.5
1993 NA 74.7 NA NA 67.9 79.6 75.9 NA 77.4 NA 79.6 NA NA NA 76.1 76.5 83.9 74.9 78.3 78 77.6 79.3
1994 NA 73.1 77.8 72.8 65.7 73.8 71.8 NA 78.3 73.8 76.2 70 NA 72.8 73.3 72.3 78.4 72.1 73.9 73.5 76.2 75.7
1995 NA 79.1 82.6 74.2 NA 77.6 NA NA 81.4 79 78.2 70.1 NA 74.2 75.9 NA NA 82.2 72.9 74.5 76.4 75.9
1996 NA 74 77.9 72.7 NA 77.7 NA NA 80.9 NA NA NA NA 72.7 74.1 77.1 81 81.4 75.6 73.5 76.4 75.6
1997 NA 79.2 83.7 81.4 NA 84 NA NA 86.1 NA 84 70.3 NA 81.4 84.1 84.4 89.5 86.4 81.2 82.7 83 83.2
1998 NA 80.4 83.8 78.9 NA 88 86.6 87 90.3 NA 86.9 NA NA 78.9 84.3 87.4 87.3 86.4 83.5 82.6 82.2 83.2
1999 NA NA 76.4 NA NA 77.1 NA NA NA NA 75.5 NA NA NA 73.4 74.8 NA 77.2 74.2 71.8 74 72.7
2000 NA 73.4 NA 79.9 NA 79.6 NA 77.6 NA NA 79 NA NA 79.9 76.4 74 NA NA 74 73.9 74.4 74
2001 NA 78.5 78 83 NA NA NA NA NA NA NA NA NA 83 82.8 79.7 87.1 NA 79.7 78.8 77.9 78.5
2002 NA 76.2 77.6 83.8 NA 79.8 NA NA NA NA 85.6 NA NA 83.8 82.1 75.6 83.4 NA 75.6 75.6 77.9 75.9
2003 NA 73.2 NA 77.8 NA 82.9 NA NA 82.9 NA 78.3 NA NA 77.8 76.2 75.5 84.4 NA 75.5 74.9 75.6 75.4
2004 NA 71.5 NA 79.7 NA 81.6 NA 79.7 86.8 NA 76.1 NA NA 79.7 71.3 72.3 83 78.1 72.3 71.1 66.5 73.1
2005 49.2 65 72.6 58.2 44.9 67.8 64.9 58.9 68.5 61.2 NA 61 57.5 58.2 NA 74.1 77.4 75.3 71.4 65.7 59.6 70
2006 54.1 65.1 72.7 70.8 51.1 65 68.8 69.7 68.9 NA 79.3 58.3 54 70.8 76.5 63.2 77.5 74.3 73.8 70.9 69.5 71.6
2007 52.9 64.6 73 71.6 42.5 61.3 64.3 69.9 67 NA 82.2 58.7 NA 71.6 76.5 68 76.8 73.9 71.9 70.7 69.3 71.5
2008 52.1 60.5 70.6 71.8 52.1 65.7 68.8 73.4 74.5 NA NA 64.1 62.6 71.8 NA 76.1 80 78 78 73.2 74.6 74.2
2009 48.7 60.1 70.2 64.1 45.7 52.3 57.8 66.6 68.1 NA 75.2 56.9 54.9 64.1 73.7 66.7 72.5 68.4 66.8 63.8 62.6 64.9
2010 45 55.1 64.1 59.8 50.6 63.7 63.8 64.6 66 NA 75.5 57.9 58.5 59.8 72.8 73.8 74.7 72 74 71.7 70.9 71.7
2011 59.1 65.5 70.3 63.9 57.4 64.6 67.7 71.5 74.7 NA 73.5 63.5 60.4 63.9 73.6 70.3 74.8 75.4 71.4 69.7 69.3 69.6
2012 60.6 64.4 73.6 73.3 52.9 54.7 57.3 NA 70.4 NA 69.5 62.3 60.3 73.3 71.8 65.9 69.2 71.8 68.5 65.8 65.3 66.1
2013 61 70.3 73.7 71.3 57.5 65.6 68.4 75.6 80.6 NA 79.6 73.6 71.9 71.3 79.6 73.5 81.9 83 79.4 72.2 71 73.7
2014 50.3 65.1 70.1 68.7 46.5 58.1 62.9 75.4 73.6 NA 74.7 58.7 56.3 68.7 74.7 67.8 71.9 75.2 71.4 69.9 68.3 71.7
2015 54.9 63.3 65.3 61.5 48.1 58.8 62.8 68.8 66.1 NA NA 56.4 56.4 61.5 NA 67.6 76.7 74.1 67.7 69.6 64.1 69.9
2016 66 73.3 74.9 78.1 63 64.8 71.9 78.6 82.1 NA 78.5 70.5 68.9 78.1 78.5 73.3 78.9 77.3 74 75.7 68 74.8
2017 53.2 65.2 69.9 75 56 65.2 67.9 73.9 78.5 NA 80.2 68.4 67.1 75 80.2 72.2 83 76 72.9 77.5 72.6 75.4
2018 44.6 59.9 65.8 62.6 43 54.1 57.8 62.6 67.8 NA 71.1 57.7 56.4 62.6 71.1 68 74.9 69.3 68.2 70.3 70.1 70
2019 55.8 67.8 70.6 70.3 56.5 67 69 76.2 76.4 NA 78.4 68.1 67.2 70.3 78.4 76 79.9 75.7 74.9 73.6 68.2 73.2
2020 55.5 66.9 72.2 74.2 57.9 67.6 69.7 73.6 76.3 NA 79.4 68.9 68.6 74.2 79.4 78.8 81.8 78 77.5 78.3 72.4 77.3
2021 52.1 61.5 67.7 66.6 50.1 59 63.6 68.1 70.7 NA NA 61.3 60.8 66.6 NA 68.7 74.1 69.2 68.4 69.4 65.9 68.9
2022 55.8 67.6 72.2 72 53.3 63 68.4 78.8 78.4 NA 76.9 67.9 67.8 72 76.9 74.1 76.8 71.7 72.8 73.3 66.7 72.6
2023 55.5 67.6 72.4 73.2 57.7 65.6 69.3 72.6 76.3 NA 78.6 68.7 67.9 73.2 78.6 75 78.6 76.7 74.8 77.6 72.8 76.1
2024 60 68.1 75.1 76 58 62.7 67.7 71.2 76.4 NA NA 69.3 69.6 76 NA 75.3 74 73.7 74.9 NA 70.2 72.6
