yr WSU CSU ESU WB GrB SMI CMI NCMI NMI NHU EHU CHU SB SMR NCGeB WER CER EER LSC WON EON CON
1973 83.4 74.8 62.8 99.6 100 34.1 10.8 27.9 95.6 61.5 66.9 48.4 90.1 100 95.5 96.4 95.2 100 99.7 77.4 86.6 55.5
1974 97 95.6 63.1 99.8 100 36.4 19.8 43.5 99.4 63.1 22.4 51.2 98 100 93.1 99.7 91.8 77.9 100 27.5 77.4 18
1975 72.4 74.2 54.2 99.9 100 26 12.5 13.9 86 33.4 44.9 49.6 94.7 100 74.9 85.7 86.9 56.7 99.6 0 55.3 4.6
1976 31.3 51.3 54.7 99.7 100 34.3 17.6 20.7 70.9 38 38.3 46.7 98.4 100 93.7 95.6 95.4 95.2 98.7 7.7 52.8 13.2
1977 96.4 96.2 95.7 100 100 91 84.6 97.7 100 89.2 96.1 96 97.9 100 99.8 99.3 99.9 100 99.9 42.1 100 41.1
1978 97.6 95.6 90.7 100 100 88.7 50.8 66.2 95.1 91.5 95.4 95.5 98.4 100 98.5 100 100 100 100 68 97.2 54.2
1979 99.8 98 95.9 99.9 100 91.8 92 93.5 97.4 97 96 94.7 97.6 100 100 100 100 100 99.9 86.8 95.9 83.7
1980 83.9 89.4 80.9 99.6 100 54.2 20.5 47.3 95.8 54.9 46.9 84.8 97.4 100 94.6 96.1 94.9 93.3 98.5 17.5 87.9 25.6
1981 95.8 95.3 73.6 100 100 67.1 41 50.8 97.6 95.2 93.6 94.4 99.5 100 96.7 98.6 95.3 97.1 100 69.4 95.9 34.9
1982 95.5 95.4 81.5 100 100 53.3 32.7 74.7 99.2 95.1 92.7 90.2 98.3 100 96.5 99.9 99.6 99.1 100 77.5 97.3 40.9
1983 43.7 25.4 17.3 95.5 97.6 5 5 15.7 92.7 23.3 15.3 16.7 90.3 100 60 95 32.6 24.3 97.2 17.7 43.8 8.2
1984 95 94.8 81.2 100 100 47.7 17.5 35.4 92.8 73.2 59.1 78 97.7 100 90.4 98.5 95 95.7 100 31 94.1 34
1985 96.1 91.1 77.1 100 100 45.2 25.5 30.4 94.3 92 76.5 78.6 99.2 100 95.9 99.6 95.2 95.7 99.9 48.7 96.5 30.1
1986 92.7 94 88.5 100 100 69.1 56.9 68.2 96.8 70.4 60.6 82.7 98.4 100 89.8 95.4 95 97.3 99.8 40 96.3 35.4
1987 26.5 18.9 10.5 95.6 98.3 9.3 6.1 18.4 90.3 24.6 22.1 36.2 97.4 99.6 82.6 95 89.7 78.8 98.4 5 45.6 5.4
1988 95.4 91.9 51.7 99.9 100 33.8 26.5 37.8 95.3 55.5 39 56.3 97.9 100 89.2 95 93.4 91 99.9 54.8 69 17.5
1989 95 91.8 89.3 95 95 20.2 11.6 38.2 91.7 70.7 37.4 65.7 95 95 95 95 95 95 95 21.6 52.8 5.1
1990 85.6 93.1 62.1 96.7 96.8 15.8 7.3 14.7 85.8 80.5 58.4 67.5 87.3 100 93.3 95 87.4 95.4 96.5 43.5 77.9 22.2
1991 95.9 96 85.4 99.7 98.6 15.7 8.2 10.5 91.3 30.3 12.5 28.5 93.4 100 87.2 92.2 43.6 53.3 95 10.1 54 2.9
1992 86.7 88.1 73 99.8 98 29.3 18.7 34.9 95.1 69.7 58.1 59.1 96.3 100 96.7 93.5 93.9 84.2 95 19.4 65 9.1
1993 95.2 95.4 60 100 99.6 18.8 6.4 37 97.7 75.1 44.1 76.3 97.8 100 97.3 95 95 95.7 96.7 12.1 82.2 16.9
1994 98.9 97.3 96.1 100 100 84.8 87.9 95.1 100 96 98.1 99.6 100 100 99.6 99.9 99.9 100 100 88.8 97.8 73.4
1995 93.4 41.6 32.7 99.3 99.3 23.8 8.8 18.7 82.1 52.9 36.3 51.8 97.9 100 91.7 98.5 95.2 95.6 100 5 80.5 8.9
1996 100 100 100 100 100 64.6 69.5 86.7 100 96.4 98.1 99 100 100 100 100 100 100 100 35.1 95.3 38.1
1997 100 98 81.7 100 100 46.4 19.2 24.2 96.3 80.4 45.4 54.5 99.7 100 94.4 99.8 99.5 100 100 9.3 69.4 15.7
1998 19.3 17.3 3.3 60.4 98.7 3.9 1.1 7 55.4 35.1 4.6 6.5 75.1 100 48.4 27.5 0.1 11.5 94.5 8.2 26.4 0.5
1999 13.2 21 16.9 92.2 99.9 18.3 7.7 6.1 66.9 36.9 5.8 17.2 81.9 100 73 97.8 76.1 77.8 100 19.4 53.5 10.1
2000 72.2 35.1 20.8 98.1 99.9 21.7 6.2 14.4 73.1 25 9.7 36.5 95.7 100 67.7 95.3 92.2 87.6 99.6 15.7 78.7 10.1
2001 63.9 60.6 36.8 99.4 97.9 57.7 18.4 10.5 75.8 33.1 22.1 35.4 94.6 100 74.2 98.6 93.9 94.4 100 13.5 72.5 7.9
2002 12.8 12.1 6.9 93.7 95.2 1 0.8 5 49.7 15.7 6.8 8.8 68.9 99.7 44.9 73.1 6 10 92.7 0 16.6 0.3
2003 96.1 95.6 95.2 100 100 39.2 23.7 57.3 98 95.4 95.3 95.3 98.3 100 97.2 98.3 95.4 97 100 47.3 96.1 39.7
2004 95.2 70 33.2 99.6 99.9 39.7 25.8 25.9 76.4 39.7 34.8 82.5 97.9 100 92.8 96.2 95 95.8 100 25.5 87.1 28.1
2005 78.9 61.4 43.9 99.1 98.9 23.3 11.1 20.7 84.3 50.3 24 72.3 98 100 93.8 96.9 94.8 94.7 99.9 45.6 72.6 29.4
2006 16.9 27.4 7.6 94.1 97.6 11.2 3.7 5.6 54.3 12.3 12 16.5 77.7 99.7 61.5 76.4 22.6 30.7 95 2.9 65.3 2.8
2007 87.4 50.2 27.9 99.2 98.1 34.6 10.8 23.6 73 19.1 27.8 66.7 97.2 100 82 98.8 95.1 95.6 99.9 5.7 86.7 15
2008 95.1 77.9 43.5 99.1 100 36.2 19 34.7 87.7 52 35.1 55.5 96.3 100 89.7 93.8 93.5 93.4 100 8.7 65.3 7.7
2009 95.1 95.5 91.6 99 99.9 47.7 38.6 45.6 97.1 78.4 79.4 81.3 97.6 100 95.1 98.3 95 95.3 100 23.9 86.1 18
2010 81.3 40.9 6.6 96 96.8 24 11.1 10 70.5 15.8 12.4 29.3 89 99.5 74.1 95.5 93.9 93.5 100 9.2 75.7 5.5
2011 72.2 30.6 35.9 97.4 98.9 41.5 15.8 14.5 83.6 52.7 46.1 74.2 97.5 100 95.7 98.5 95.1 96 99.9 19.3 94 18.9
2012 10.4 14.7 3.6 85.2 96.4 14.4 4.9 5.1 57.2 11.5 3.9 20.2 75.2 98.8 54.3 71.8 6.3 6.8 94.2 3.6 11.9 2
2013 89.2 55.1 27.6 97.2 99.7 19.7 6.9 10.7 73.2 38.2 32.8 35.7 93.9 100 75.7 92.3 87.4 77.1 100 2.4 67.9 6.6
2014 95.3 95.7 96.2 100 100 87.9 94.6 95.6 100 96.2 96.8 95.4 98 100 98.2 98.6 95.3 100 100 32.8 98 57.4
2015 95.3 95.8 95.3 100 100 73.5 56.3 77.8 99.7 95.6 96.7 95.6 98.1 100 97.7 98.9 98.3 98.7 100 92.4 99 78
2016 36.3 27.1 14.9 95.7 97.2 22.5 11.7 14.2 65.3 36.4 21.8 36.8 94 99.8 71.4 95.3 79.3 64.2 95.9 9.7 64.4 17.1
2017 11.9 14.9 21.6 95.3 97.2 18 4.3 6.5 83.3 16.7 16 19.3 78.9 99.6 81 87.2 30.2 21.3 92.5 4.8 30 3.5
2018 95 93.1 71.7 99.9 100 37.1 27.2 58.9 95.8 93.3 60.3 83.6 97.5 100 94.5 97.8 95.1 95.2 100 43.5 86.4 16.1
2019 96.1 95.6 95.1 100 100 42.7 41.7 58.8 99.5 95.2 95.5 95.2 98.2 100 96.6 98.1 94.1 95.9 100 24.4 92.4 32.5
2020 19 26.8 17.2 95.8 97.6 10.5 2.9 7.5 51 20 8.9 21.2 93.5 99.9 58.1 46 7.1 9.4 76.9 1.4 39.1 4.8
2021 91.2 67.7 31.2 95.6 99.6 34.9 13.9 17 81.9 36.6 22.6 40.9 95.8 100 74.7 95.3 87.6 71.4 99.5 13.4 65.8 11.6
2022 92.3 90.9 67.6 100 98.5 30.8 15.1 32.7 92.7 66.8 45.1 63.4 97.4 100 86.1 96.9 95 87.6 99.6 18.4 80.1 20.1
