yrs WSU CSU ESU WB GrB SMI CMI NCMI NMI NHU EHU CHU SB SMR NCGeB WER CER EER LSC WON EON CON
1973 0.7 1.6 1.7 1.5 1.3 1.6 1.3 1.2 1.1 1.2 2 2 1.3 1.4 2.2 2 2.4 2.6 2.2 2.4 2.1 2.1
1974 0.6 1.1 1.3 1.7 1 2.5 2.2 1.3 1.2 1.6 2.4 2.3 2 1.5 2.5 2.4 2.7 2.6 2.7 2.1 2.4 2
1975 1.6 1.9 2.6 2.7 1.8 2.1 2 1.8 1.7 2 2.9 2.4 1.6 2.2 3.1 2.2 2.6 2.7 2.1 2.3 2.7 2.3
1976 1.4 2.5 3 3 2.1 2.6 2.6 2.5 2.2 2.2 3.4 2.9 2.2 2.5 3.5 2.7 3.2 3.4 2.6 2.7 3.1 2.6
1977 1.6 1.9 2.6 3 2 1.6 1.7 2.1 2.4 2.2 3.5 2 1 2.4 3.1 2 2.1 2.1 1.8 1.8 2.6 2.1
1978 0.5 0.9 1.3 1.4 0.8 1.2 0.8 0.9 0.9 1.1 1.8 1.6 1 1.1 2 1.9 1.9 2.1 1.7 1.9 2.9 2
1979 1.7 2.1 2.8 2.3 2.4 2.2 2.2 2.6 2.2 2.2 3.3 1.7 1.6 2.2 3 1.7 2.2 2.8 1.3 2 2.5 2.2
1980 0.8 1.4 1.6 1.6 1 1 0.9 1 1.1 1.1 2.3 1.6 0.9 1.5 2.2 1.7 1.7 2 1.5 1.7 2.1 1.9
1981 0.9 1.5 1.7 1.5 0.8 0.9 0.9 1 1 1.1 2.2 1.9 1 1.3 1.8 1.3 1.7 1.9 1.4 1.5 2.1 1.7
1982 1.1 1.5 1.7 2.2 1.6 1.9 1.4 1.6 1.6 1.7 2.7 2 1.5 2.1 2.9 2.4 2.4 2.3 2 2.2 2.2 2.1
1983 0.9 1.2 1.7 1.5 1.2 1.6 1.4 1.3 1.3 1.5 2.4 1.6 1.6 1.7 2.1 1.1 1.4 1.7 1.1 1.7 2 1.8
1984 0.5 1 1.6 1.3 1 1.3 1.1 1.1 1.2 1.4 2.3 1.8 1.1 1.5 2 1.8 2 2.1 1.8 2.1 1.9 1.9
1985 0.8 1.2 2 2.4 1.5 2.4 2.1 1.9 2.2 2.2 4.3 3.3 2.5 2.4 3.7 2.7 3 3.1 3.1 2.7 3.1 2.7
1986 0.7 1.2 1.7 1.8 1.2 1.4 1.5 1.3 1.2 1.3 2.6 1.8 1.7 1.7 2.3 1.8 2 2 1.7 1.8 2 1.8
1987 0.4 0.6 0.9 1.1 0.7 0.9 0.9 0.8 0.8 0.9 1.7 1.3 0.9 1.1 1.8 1.4 1.6 1.7 1.3 1.5 1.8 1.6
1988 0.9 1.6 1.8 1.9 1.1 1.6 1.4 1.4 1.5 1.8 3.4 1.8 1.2 2 2.9 1.3 1.6 1.7 1.2 1.4 2.1 1.7
