yrs WSU CSU ESU WB GrB SMI CMI NCMI NMI NHU EHU CHU SB SMR NCGeB WER CER EER LSC WON EON CON
1973 4.1 4.3 4.5 4.2 4.5 5.5 5.6 4.9 4.2 4.2 NA 3.5 3.6 4.2 NA 5.2 5.8 5.5 4.8 NA 4.8 4.8
1974 4.7 4 4.2 4.2 3.8 5.3 5 3.9 4.1 3.4 NA 3.6 3.7 4.2 NA 6 5.8 5.6 5.1 NA 5.2 5.3
1975 5.6 4.3 4.7 4.1 4.1 5.4 5.2 4.1 4.3 3.9 NA 3.8 3.4 4.1 NA 6.6 6 5.9 5.5 NA 4.8 5.7
1976 5.5 4.1 4.3 4.4 4.3 6 5.9 4.6 4.8 3.9 NA 4.5 4.2 4.4 NA 6.7 6.6 6.1 5.9 NA 5.3 6.1
1977 5.2 4.7 4.7 4 4.1 5.7 5.8 NA 4.3 3.5 NA 4.6 4.9 4 NA 5.4 5.7 6.7 5.3 NA 5 6.6
1978 4.2 4 3.9 3.4 3.8 5.1 5.3 4.7 4 3.4 4 3.8 4.5 3.4 3.2 5.2 5.2 5.4 4.5 NA 5 5.5
1979 4.3 3.9 4.2 3.7 4 5.2 5.1 4.9 4.4 4.1 4.4 4.3 5.1 3.7 3.9 5.5 5.7 5.2 5 NA 4.6 4.9
1980 4.3 3.6 3.8 3.7 3.9 5.3 5.4 5.1 4.1 3.3 3.8 4.3 4.5 3.7 3.5 5.3 5.4 5.2 4.9 6.2 5 5.7
1981 4.3 3.7 4.2 3.7 3.8 5.3 4.9 4.8 4.1 3 4.1 4.3 4.2 3.7 3.6 5.4 5.5 4.7 4.6 NA 4.6 5.4
1982 5.3 4.1 4.7 4.1 4.4 5.5 5.7 5.7 4.7 4.5 4.7 4.8 4.8 4.1 4.2 5.8 5.6 5.7 5.1 5.6 4.9 5.6
1983 4.4 3.6 4.2 3.9 4 4.7 4.8 5 4.3 4.5 3.9 4.4 3.9 3.9 3.6 4.9 4.9 4.5 4.1 4.7 4.4 4.9
