year  sup    mic    hur    eri    ont    bas  
1973  71.13  36.97  68.11  95.71  64.21  62.54
1974  74.62  43.19  63.25  88.54  28.16  61.26
1975  66.06  29.03  57.09  80.48  15.11  52.01
1976  52.4   32.88  54.42  95.37  19.42  41.96
1977  96.04  93.29  95.01  99.78  48.79  90.15
1978  92.49  68.29  95.76  100    59.37  83.72
1979  97.11  92.4   96.39  99.98  86.26  94.85
1980  80.7   43.7   72.7   93.93  35.19  66.78
1981  85.57  55.8   95.31  95.97  50.24  73.25
1982  85.81  62.87  93.4   99.02  53.21  76.63
1983  23.31  24.96  35.31  43.36  16.1   24.97
1984  88.35  46.14  78.46  95.7   43.67  66.88
1985  82.07  44.55  87.86  96     41.28  71.5
1986  90.7   68.02  74.03  95.52  46.13  77.74
1987  15.67  24.86  45.86  88.14  13.09  29.21
1988  68.54  36.5   61.61  91.55  24.88  55.86
1989  87.73  31.45  70.62  95     13.87  62.94
1990  76.81  25.74  74.74  85.5   35.09  59.75
1991  91.26  25.77  40.25  44.42  13.02  49.21
1992  81.27  42.24  70.73  91.28  21.05  50.96
1993  79.56  36.42  79.05  94.79  26.81  66.64
1994  96.66  90.61  98.46  99.76  79.71  91.11
1995  43.86  23.68  59.69  95.84  21.66  42.59
1996  100    75.42  98.24  100    45.3   82.98
1997  89.03  37.94  65.44  99.61  25.87  59
1998  11.04  15.88  29.68  5.32   6.42   14.41
1999  15.11  23.49  29.3   74.74  14.68  26.32
2000  33.24  27.71  42.01  83.08  18.63  35.03
2001  46.84  29.98  46.39  93.98  18.13  34.3
2002  10.25  13.02  26.52  14.23  4.13   12.27
2003  95.55  49     96.19  95.7   49.79  80.17
2004  52.26  36.78  64.76  95.39  38.63  51.87
2005  55.71  31.02  59.8   92.95  39.48  45.1
2006  17.62  17.59  33.11  24.63  14.93  21.46
2007  52.67  38.83  71.94  95.77  25.17  56.15
2008  63.66  35.13  60.38  93.38  15.7   54.74
2009  93.72  53.38  85.46  95.55  27.94  74.5
2010  28.96  25.16  38.78  93.13  14.94  29.15
2011  33.64  29.35  63.79  95.85  31.09  40.1
2012  8.49   16.73  23.12  13.87  3.36   12.89
2013  38.65  24.44  47.86  83.74  15.6   38.4
2014  95.82  93.33  96.42  96.46  60.93  92.52
2015  95.65  72.92  96.4   98.15  82.4   88.76
2016  22.69  26.75  47.98  78.73  23.46  33.81
2017  18.73  18.19  35.35  35.52  6.75   19.56
2018  77.11  51.28  81.3   95.07  25.85  69.09
2019  94.91  55.83  95.70  94.28  39.82  80.87
2020  22.6   17.2   32.1   15.9   10.7   19.5
2021  50.6   33.3   48.3   82.7   20.6   45.8
2022  79.5   37.5   67.2   93.8   29.4   56.1
2023  19.8   21.5   34.4   40.2   16.4   21.6
2024  11.9   18.3   22.6   35.7    5.3   16.0 
