GrB WER CER EER NHU EHU CHU SMI CMI NCMI NMI WON EON WSU CSU ESU LSC NR SB SMR WB NCGeB CON
19721220 55.2 0.3 0 0 7 19.5 9.5 5 6.6 5.1 5.1 0 0 24.1 22.2 8.1 75.9 NA 52.2 97.8 13 40.2 0.2
19721221 57.1 0.3 0 0 6.7 18.4 9.2 5 6.3 5.2 7.6 0 0.1 24 21.5 8.1 67.9 NA 52.2 95.5 12.3 38.3 0.5
19721222 58.7 0.3 0 0 6.5 16.7 8.9 5 6.3 5.3 10.1 0 0.1 23 21.2 8 60.2 NA 52 92.8 11.4 35.9 0.8
19721223 59.4 0.2 0 0 6.2 15.2 8.4 5 5.9 5.4 12.1 0 0.2 21.7 20.2 7.8 50.7 NA 52 90.4 10.6 33 1
19721224 60 0.2 0 0 5.9 13.6 8.1 5 5.9 5.6 14.6 0 0.2 21.7 19.6 7.8 45.9 NA 51.8 87 9.7 31.1 1.3
19721225 61.9 0.1 0 0 0.8 8.3 3.2 5 5.6 5.7 17 0 0.3 17.8 15.4 3.1 37.9 NA 49.6 84.7 4.6 28.7 1.5
19721226 63.6 0.1 0 0 0.6 6.7 2.9 5 5.3 5.8 19.5 0 0.4 17.6 15 3.2 30.1 NA 49.4 82 3.7 26.6 1.8
19721227 64.2 0 0 0 0.2 5.1 2.4 5 5.3 5.9 21.5 0 0.4 15.6 14.1 2.8 20.7 NA 49.4 79.7 2.9 23.4 2.1
19721228 64.8 0 0 0 0 3.5 2.1 5 5 6 24 0 0.5 15.4 13.3 2.8 12.8 NA 49.2 76.3 2 21.3 2.3
19721229 64.4 3.3 0.1 0 0.2 4.5 1.6 5 5 5.9 22 0 1.5 13.9 13.9 4.1 17.2 NA 46 80.5 4.5 27.9 2.3
19721230 64.5 6.6 0.2 0 0.4 5.4 1.3 5 5 5.8 19.4 0 2.4 12 14.1 5.3 19.7 NA 43.1 85 7.1 33.9 2.2
19721231 66 9.8 0.4 0 0.4 7.3 0.9 0 0 0.9 14.7 0 3.4 10.5 14.7 6.4 24.1 NA 40.4 87.9 11.7 40.2 2.2
19730101 66 13.1 0.5 0 0.6 8.3 0.6 0 0 0.8 12.1 0 4.3 8.7 14.9 7.6 26.6 NA 37.6 92.3 14.3 46.2 2.1
19730102 65.6 16.4 0.6 0 0.7 9.3 0.1 0 0 0.7 10.1 0 5.3 7.2 15.5 8.9 31.1 NA 34.3 96.6 16.8 52.8 2.1
19730103 68 26.3 1.6 0.9 2.2 9.8 1.8 1 0.6 1.4 16 4.3 9.5 11.7 18.2 9.4 31.7 NA 42.7 97 25.5 51.6 3.2
19730104 74.7 37.7 2.8 2.7 4 10.3 3.9 1.9 1.1 2 22.3 6.5 14.5 17.6 20.8 9.8 31.4 NA 50.7 97.7 33.7 50.8 4.8
19730105 77.1 47.5 3.8 3.6 5.5 10.8 5.7 2.9 1.7 2.8 28.3 10.8 18.7 22.2 23.4 10.3 32 NA 59.1 98.1 42.3 49.6 6
19730106 80.8 56.3 9 9.5 11.3 13.7 11.5 7.9 6.6 8.2 37.3 18 26.7 28.7 28.7 15 30.7 NA 65.4 98.5 54.6 46.6 11.7
19730107 83.1 66.2 10 10.4 12.7 14.2 13.3 8.9 7.1 9 43.3 22.3 30.9 33.2 31.3 15.5 31.3 NA 73.7 98.9 63.3 45.4 12.9
19730108 89.9 77.6 11.1 12.2 14.5 14.7 15.3 9.9 7.7 9.6 49.5 24.5 35.9 39.1 34 15.9 31 NA 81.7 99.6 71.5 44.6 14.5
19730109 92.3 87.4 12.2 13.1 16 15.2 17.1 10.8 8.2 10.3 55.5 28.8 40.1 43.7 36.6 16.4 31.7 NA 90.1 100 80.1 43.4 15.7
19730110 93.5 87.3 15.9 14.2 16.4 13.5 16.6 15 9.1 9.5 51.1 26.1 39.1 43.2 34.1 15.5 42 NA 88.6 100 81.3 42.3 15.2
19730111 94.8 86.7 19.3 15.3 17.9 11.8 16.2 17.9 9.7 8.9 48.6 23.9 38.1 40.7 31.2 14.7 50 NA 87.7 100 84.8 41.6 14.5
19730112 96.1 86.5 23 16.4 18.4 10.1 15.8 22.1 10.6 8 44.2 21.2 37.1 40.3 28.6 13.8 60.3 NA 86.2 100 86 40.6 14
19730113 96.1 86.6 25.2 13.3 15.7 7.3 12.6 22.9 7.2 2.7 38 15.7 33.2 36.5 23.4 9.3 66.3 NA 84.6 95.4 87.3 36.7 9.4
19730114 97.4 86.5 28.9 14.4 16.1 5.6 12.2 27.1 8.1 1.8 33.6 13 32.1 36 20.8 8.4 76.6 NA 83.1 95.4 88.4 35.6 8.9
19730115 98.7 85.9 32.3 15.5 17.6 3.9 11.8 30 8.7 1.2 31.1 10.8 31.2 33.5 17.9 7.7 84.6 NA 82.2 95.4 91.9 35 8.3
19730116 100 85.8 36 16.6 18 2.2 11.4 34.1 9.6 0.4 26.8 8.1 30.1 33.1 15.4 6.7 94.9 NA 80.7 95.4 93.1 33.9 7.8
19730117 97.5 80 31.5 13.9 15.9 2 10.1 29 8.2 0.3 25.2 7.3 30.4 30.2 15.3 6.8 94.7 NA 74.8 95.4 83.4 33 7
19730118 95.9 74.8 26.6 12.4 13 1.5 8.6 23.9 6.7 0.3 23.6 5.7 30.6 26.9 15 7.3 94.5 NA 68.9 95.4 73.3 32.2 5.5
19730119 93.5 69.1 22.1 9.7 10.9 1.3 7.4 18.8 5.3 0.2 22.1 4.9 30.8 24 15 7.3 94.4 NA 63 95.3 63.5 31.3 4.7
19730120 91 63.4 16.5 6.9 8.3 0.9 4 15.4 4.3 0.2 20.9 3.2 30.3 21.9 13.5 7.2 92.2 NA 58.4 95.2 52.7 30.5 3.1
19730121 88.6 57.6 11.9 4.2 6.2 0.7 2.7 10.2 2.9 0.1 19.4 2.4 30.5 19 13.5 7.3 92.1 NA 52.5 95.2 43 29.7 2.3
19730122 86.9 52.4 7.1 2.7 3.3 0.2 1.3 5.1 1.4 0.1 17.8 0.8 30.7 15.8 13.1 7.7 91.9 NA 46.7 95.1 32.9 28.8 0.8
19730123 84.5 46.6 2.5 0 1.1 0 0 0 0 0.1 16.3 0 31 12.8 13.1 7.8 91.7 NA 40.8 95.1 23.2 28 0
19730124 84.9 45.9 3.2 0.8 3 0.7 1 0 0 4.3 28.4 2 38.6 13.6 13.8 9.5 91.9 NA 46 95.1 33.7 31.4 1.6
19730125 85.6 43.5 3.7 1.6 4.8 0.7 2 0 0 7.7 38 5.6 44.5 14.4 14.8 11.3 92.1 NA 51.3 95.2 42.2 33.4 3.1
19730126 86 42.8 4.4 2.4 6.7 1.4 2.9 0 0 11.9 50.2 7.6 52.2 15.2 15.6 13.1 92.3 NA 56.6 95.2 52.8 36.9 4.7
19730127 85.9 43.4 9.5 7.7 8 1.4 3.8 0 0 16 60.9 11.4 58.7 16.3 16.7 14.6 89.6 NA 61.8 99.9 61.5 41.7 6.6
19730128 86.3 42.7 10.2 8.5 9.9 2.1 4.7 0 0 20.3 73 13.4 66.3 17.1 17.5 16.3 89.8 NA 67.1 99.9 72.1 45.1 8.2
19730129 87 40.3 10.6 9.3 11.7 2.1 5.7 0 0 23.6 82.7 17 72.2 17.9 18.5 18.1 89.9 NA 72.4 100 80.6 47.1 9.8
19730130 87.4 39.6 11.3 10.1 13.6 2.8 6.7 0 0 27.9 94.8 19 79.9 18.7 19.2 19.8 90.1 NA 77.7 100 91.1 50.6 11.4
19730131 88.7 34.7 10.7 9.3 12.7 2.1 6.1 0 0 23.7 80.5 17 76.1 17.7 18.4 18.4 82.3 NA 76.7 100 89.6 49.8 10.8
19730201 89.8 30 10 8.7 12 2.2 5.7 0 0 20.8 70.5 13.4 72 17.6 17.1 16.7 71.8 NA 76.9 100 87.1 48.5 9.8
19730202 91.1 25.1 9.4 7.9 11.1 1.5 5.1 0 0 16.6 56.3 11.4 68.2 16.6 16.2 15.3 64 NA 75.9 100 85.6 47.7 9.2
19730203 92.2 19.4 9.1 7.1 10.2 1.5 6.8 0 0 15.2 45 7.6 65.9 16.5 14.6 13.9 55.6 NA 75.1 100 86.4 46.4 8.2
19730204 93.5 14.6 8.5 6.3 9.3 0.8 6.3 0 0 11 30.7 5.6 62.1 15.5 13.7 12.5 47.8 NA 74.1 100 85 45.6 7.6
19730205 94.7 9.9 7.9 5.8 8.6 0.8 5.8 0 0 8.2 20.7 2 58 15.4 12.5 10.7 37.3 NA 74.3 100 82.4 44.2 6.6
19730206 95.9 5 7.2 5 7.7 0.1 5.2 0 0 4 6.5 0 54.2 14.4 11.6 9.3 29.4 NA 73.3 100 80.9 43.5 6
19730207 95.9 15.1 18.1 12.7 9.4 2.1 10.9 0.4 0 4 13.6 0 55.8 16 12.1 11.4 39.9 NA 70.9 100 83.9 50.4 5.8
19730208 95.5 30 29.6 19.7 10.5 4.2 16 0.8 0 4 24.4 0 58.8 16.9 12.7 12.9 47.7 NA 67.7 100 86.1 57.1 5.7
19730209 95.5 40.1 40.5 27.4 12.2 6.3 21.7 1.3 0 4 31.5 0 60.4 18.5 13.2 15 58.2 NA 65.3 100 89 64.1 5.5
19730210 96.8 55.1 51.7 34.3 17.2 12.3 28.7 6.4 5 5.9 41.9 5 63.3 22.4 18 20.3 66.5 NA 63.6 100 90.5 69.7 10
19730211 96.8 65.2 62.5 42 18.9 14.4 34.4 6.8 5 5.9 49.1 5 64.9 24 18.5 22.4 77 NA 61.2 100 93.4 76.6 9.7
19730212 96.4 80 74.1 49.1 20.1 16.4 39.5 7.3 5 5.9 59.9 5 67.9 24.9 19.1 23.9 84.8 NA 58 100 95.7 83.3 9.7
19730213 96.4 90.1 84.9 56.7 21.8 18.5 45.2 7.7 5 5.9 67 5 69.5 26.5 19.6 26 95.3 NA 55.5 100 98.6 90.3 9.5
19730214 96.4 90.1 86.1 61.4 23.7 25.8 46 9.7 6 5.8 66.1 13.9 72 27 23.4 27.1 95.2 NA 58.8 100 98.6 91 15.4
19730215 98.2 91.5 87.1 65.2 25.4 31.7 45.6 11.1 6.6 5.8 67.6 26.5 74.3 27.4 26.3 27.8 95.3 NA 61 100 98 92 23.2
19730216 98.2 91.5 88.3 69.9 27.3 39 46.3 13.1 7.6 5.7 66.7 35.4 76.9 27.9 30.1 28.9 95.3 NA 64.2 100 98 92.6 29.1
19730217 98.2 95.1 91.6 74.7 29.6 46.4 47.3 14.9 8.2 5.6 65.6 47 79.2 27.9 33.3 29 99.7 NA 67.2 100 98 93.2 35.9
19730218 98.2 95.1 92.8 79.4 31.5 53.7 48.1 16.9 9.2 5.6 64.7 56 81.7 28.4 37.1 30.1 99.6 NA 70.5 100 98 93.9 41.8
19730219 100 96.4 93.8 83.2 33.3 59.6 47.6 18.3 9.8 5.5 66.2 68.5 84.1 28.8 40 30.8 99.7 NA 72.7 100 97.5 94.8 49.6
19730220 100 96.4 95 87.8 35.2 66.9 48.4 20.3 10.8 5.5 65.3 77.4 86.6 29.3 43.8 31.9 99.7 NA 75.9 100 97.5 95.5 55.5
19730221 100 96.1 95 89.4 38.5 66 48 21.1 10.5 8.3 69.4 70.8 86.3 36.2 47.9 36.6 99.6 NA 74.9 100 97.5 94.9 51.2
19730222 100 95.9 95 90.3 43.1 65.3 48.2 22.1 10.3 11.9 73.6 64.2 86.5 45.1 53 40.4 99.3 NA 74.2 100 98.4 94.4 47.3
19730223 100 95.6 95 91.8 46.4 64.4 47.8 23 10 14.7 77.7 57.6 86.1 51.9 57 45.1 99.2 NA 73.3 100 98.4 93.9 43
19730224 100 94.1 95.2 96 50.2 64 47.4 24.7 10 18.6 83.2 52.1 85 60.8 61.6 49.5 95 NA 72.5 100 98.7 93.6 37
19730225 100 93.8 95.2 97.6 53.6 63.1 46.9 25.5 9.7 21.4 87.2 45.5 84.7 67.7 65.7 54.2 94.9 NA 71.6 100 98.7 93 32.8
19730226 100 93.6 95.2 98.4 58.2 62.4 47.2 26.6 9.5 25 91.5 38.9 84.9 76.6 70.8 58.1 94.6 NA 70.9 100 99.6 92.5 28.8
19730227 100 93.3 95.2 100 61.5 61.5 46.7 27.4 9.2 27.8 95.6 32.3 84.6 83.4 74.8 62.8 94.5 NA 69.9 100 99.6 91.9 24.6
19730228 100 87.5 91 89.8 60.4 56.2 44.4 24.1 8.5 25.8 92.3 28.1 76.2 82.8 72.3 60.4 92.1 NA 72.7 100 98.3 92.1 21.3
19730301 100 82.2 86.7 83.1 59.2 49.5 41.6 21.5 8.1 23.4 89.9 23.3 69.7 82.1 69.2 58.8 86.6 NA 75.7 99.9 96.7 92.2 18
19730302 100 76.4 82.5 73 58 44.2 39.2 18.2 7.4 21.4 86.7 19.1 61.3 81.6 66.6 56.5 84.2 NA 78.4 99.9 95.4 92.4 14.7
19730303 100 70.9 78.7 64.6 56.9 37.5 37 14.2 6.8 18.6 82.3 18.1 54.9 83.4 64 55.1 77.7 NA 80 99.9 93.6 92.8 14.8
19730304 100 65 74.4 54.4 55.8 32.2 34.6 10.9 6.1 16.6 79.1 14 46.5 82.9 61.4 52.7 75.3 NA 82.8 99.9 92.3 93 11.5
19730305 100 59.8 70.2 47.7 54.6 25.5 31.8 8.3 5.7 14.3 76.7 9.2 40 82.2 58.3 51.2 69.8 NA 85.8 99.9 90.7 93.1 8.3
19730306 100 53.9 65.9 37.5 53.4 20.2 29.4 5 5 12.2 73.4 5 31.7 81.6 55.8 48.8 67.4 NA 88.5 99.9 89.4 93.3 5
19730307 98.7 46 56.7 33.7 49 18.4 26.3 5 5 11 63.2 5 28.2 72.7 52.6 46.3 59.1 NA 80.4 99.9 85.5 88.6 5
19730308 92.9 40.3 48.9 28.5 42.6 17.5 23.8 5 5 9.9 53.7 5 25.2 67 49.3 44.4 46.6 NA 71.8 99.9 85.1 85.6 5
19730309 91.6 32.3 39.8 24.6 38.2 15.6 20.7 5 5 8.7 43.5 5 21.8 58.1 46.1 41.9 38.3 NA 63.7 99.8 81.2 80.9 5
19730310 90.8 23.4 28.7 18.9 31.4 13.8 17.8 0 0 3.5 35 0 15.7 52.3 42.7 38.7 29.1 NA 57.4 99.7 80.8 77.3 0
19730311 89.6 15.4 19.6 15 27 11.9 14.7 0 0 2.4 24.7 0 12.3 43.4 39.4 36.1 20.8 NA 49.3 99.7 76.8 72.6 0
19730312 83.7 9.7 11.8 9.8 20.6 11 12.2 0 0 1.2 15.2 0 9.3 37.7 36.2 34.2 8.3 NA 40.7 99.7 76.5 69.6 0
19730313 82.5 1.7 2.6 6 16.2 9.2 9 0 0 0 5 0 5.8 28.8 33 31.7 0 NA 32.6 99.6 72.6 64.9 0
19730314 75.6 1.4 2.2 5.3 15.5 8.8 8.4 0 0 0 4.9 0 5.4 30.9 31.1 28.7 0 NA 28.9 99.6 68.9 66.3 0
19730315 69.1 1.3 2 4.6 14.1 8.2 8 0 0 0 4 0 5.3 32.1 28.6 25.1 0 NA 25.2 99.5 63.4 67 0
